Sample,Weight,Density Weight,Length,Width_top,Width_middle,Width_bottom,Dish_weight,Fresh_weight,Dry_weight,Water_content
1,90.2,91.3,186,28.35,23.24,19.84,3.11,27.3,4.35,0.954578755
2,158.6,157,251,33.75,31.51,26.09,3.09,39.07,4.5,0.963910929
3,169.6,168,245,33.47,30.16,28.02,3.03,43.27,4.56,0.964640629
4,180,179.4,251,36.38,32.67,26.78,3.1,43.42,4.71,0.962920313
5,99.5,98.9,221,28.08,24.56,22.02,3.11,30.05,4.22,0.963061564
6,109.3,108.4,220,29.2,26.26,22.82,3.03,29.25,4.14,0.962051282
7,179.5,179,266,32.13,30.67,25.97,3.11,39.01,4.57,0.962573699
8,132.3,132.7,244,30.27,30.87,26.26,3.09,34.68,4.56,0.957612457
9,146.6,146.3,231,33.23,32.16,26.05,3.05,36.69,4.5,0.960479695
10,139.8,139.7,253,31.37,28.02,22.54,3.07,34.51,4.36,0.962619531
11,224.3,223.6,277,37.75,34.39,29.21,3.13,50.45,5.11,0.960753221
12,167.6,167.3,227,33.71,31.31,28.24,3.06,40.4,4.6,0.961881188
13,80.7,79.5,185,26,25.36,22.78,3.08,25.27,4.14,0.958053027
14,172.5,172.2,234,33.83,32.22,27.38,3.08,39.44,4.57,0.962221095
15,84.6,84.2,204,27.64,25.96,22.18,3.1,24.22,4.05,0.960776218
16,197,196.7,257,33.63,32.42,30.82,3.04,48.61,4.71,0.965644929
17,210.8,210.6,246,37.08,35.01,30.05,3.02,52.68,4.78,0.966590737
