Time,Force,Stroke,Stress,Strain
0,0.05722046,0,0.07285535,0
0.01,0.07629395,0.004166667,0.09714047,0.004166667
0.02,0.09298325,0.008333334,0.1183899,0.008333334
0.03,0.09854635,0.0125,0.1254731,0.0125
0.04,0.09695689,0.01663333,0.1234493,0.01663333
0.05,0.09854635,0.02083333,0.1254731,0.02083333
0.06,0.09934107,0.02496667,0.126485,0.02496667
0.07,0.10252,0.02913333,0.1305325,0.02913333
0.08,0.1096725,0.03333334,0.1396394,0.03333334
0.09,0.1239777,0.03746667,0.1578533,0.03746667
0.1,0.1390775,0.04163333,0.177079,0.04163333
0.11,0.1533826,0.04583333,0.1952928,0.04583333
0.12,0.1637141,0.04996667,0.2084472,0.04996667
0.13,0.1700719,0.05413333,0.2165423,0.05413333
0.14,0.1764297,0.0583,0.2246373,0.0583
0.15,0.184377,0.0625,0.2347561,0.0625
0.16,0.1955032,0.06666667,0.2489224,0.06666667
0.17,0.2058347,0.0708,0.2620769,0.0708
0.18,0.2153714,0.075,0.2742194,0.075
0.19,0.2264977,0.07916667,0.2883857,0.07916667
0.2,0.243187,0.0833,0.3096352,0.0833
0.21,0.2646446,0.0875,0.336956,0.0875
0.22,0.2813339,0.09163333,0.3582055,0.09163333
0.23,0.2948443,0.0958,0.3754074,0.0958
0.24,0.30756,0.1,0.3915975,0.1
0.25,0.3242493,0.1041333,0.412847,0.1041333
0.26,0.3417333,0.1083333,0.4351083,0.1083333
0.27,0.3576279,0.1125,0.4553459,0.1125
0.28,0.3687541,0.1166333,0.4695122,0.1166333
0.29,0.3814697,0.1208,0.4857023,0.1208
0.3,0.398159,0.1249667,0.5069518,0.1249667
0.31,0.418822,0.1291333,0.5332606,0.1291333
0.32,0.4402796,0.1333333,0.5605814,0.1333333
0.33,0.4585584,0.1374667,0.5838547,0.1374667
0.34,0.4752477,0.1416667,0.6051041,0.1416667
0.35,0.4982948,0.1458333,0.6344486,0.1458333
0.36,0.5229314,0.1499667,0.6658169,0.1499667
0.37,0.5404155,0.1541667,0.6880783,0.1541667
0.38,0.5507469,0.1583,0.7012327,0.1583
0.39,0.5690257,0.1624667,0.724506,0.1624667
0.4,0.5960464,0.1666667,0.7589099,0.1666667
0.41,0.6175041,0.1708,0.7862306,0.1708
0.42,0.6326039,0.1749667,0.8054563,0.1749667
0.43,0.6484985,0.1791667,0.825694,0.1791667
0.44,0.667572,0.1833,0.8499791,0.1833
0.45,0.6890297,0.1874667,0.8772998,0.1874667
0.46,0.7120768,0.1916333,0.9066443,0.1916333
0.47,0.7390976,0.1958,0.9410483,0.1958
0.48,0.7661183,0.2,0.9754521,0.2
0.49,0.790755,0.2041333,1.00682,0.2041333
0.5,0.8138021,0.2083333,1.036165,0.2083333
0.51,0.8368492,0.2125,1.065509,0.2125
0.52,0.8583069,0.2166333,1.09283,0.2166333
0.53,0.8805593,0.2208333,1.121163,0.2208333
0.54,0.9059906,0.2249667,1.153543,0.2249667
0.55,0.9353955,0.2291333,1.190983,0.2291333
0.56,0.9640058,0.2333333,1.22741,0.2333333
0.57,0.9878476,0.2374667,1.257767,0.2374667
0.58,1.006921,0.2416667,1.282052,0.2416667
0.59,1.026789,0.2458333,1.307349,0.2458333
0.6,1.045863,0.2499667,1.331634,0.2499667
0.61,1.066526,0.2541667,1.357943,0.2541667
0.62,1.090368,0.2583,1.388299,0.2583
0.63,1.115004,0.2624667,1.419667,0.2624667
0.64,1.139641,0.2666667,1.451036,0.2666667
0.65,1.162688,0.2708333,1.48038,0.2708333
0.66,1.184146,0.275,1.507701,0.275
0.67,1.207193,0.2791667,1.537046,0.2791667
0.68,1.231829,0.2833333,1.568414,0.2833333
0.69,1.25885,0.2875,1.602818,0.2875
0.7,1.286666,0.2916333,1.638233,0.2916333
0.71,1.31766,0.2958333,1.677697,0.2958333
0.72,1.347065,0.3,1.715136,0.3
0.73,1.374086,0.3041333,1.74954,0.3041333
0.74,1.397133,0.3083333,1.778885,0.3083333
0.75,1.417796,0.3125,1.805194,0.3125
0.76,1.440843,0.3166333,1.834538,0.3166333
0.77,1.466274,0.3208333,1.866918,0.3208333
0.78,1.491706,0.325,1.899298,0.325
0.79,1.516342,0.3291333,1.930667,0.3291333
0.8,1.541773,0.3333333,1.963047,0.3333333
0.81,1.567205,0.3375,1.995427,0.3375
0.82,1.591841,0.3416667,2.026795,0.3416667
0.83,1.618862,0.3458333,2.061199,0.3458333
0.84,1.648267,0.35,2.098639,0.35
0.85,1.680056,0.3541667,2.139114,0.3541667
0.86,1.708666,0.3583,2.175542,0.3583
0.87,1.732508,0.3625,2.205898,0.3625
0.88,1.753171,0.3666667,2.232207,0.3666667
0.89,1.775424,0.3708,2.26054,0.3708
0.9,1.799266,0.3749667,2.290896,0.3749667
0.91,1.821518,0.3791667,2.319229,0.3791667
0.92,1.844565,0.3833,2.348573,0.3833
0.93,1.869996,0.3874667,2.380953,0.3874667
0.94,1.897017,0.3916333,2.415357,0.3916333
