Time,Force,Stroke,Stress,Strain
0,0.05086263,0,0.06476031,0
0.01,0.0611941,0.004166667,0.07791475,0.004166667
0.02,0.06516775,0.0083,0.08297415,0.0083
0.03,0.06755193,0.0125,0.08600979,0.0125
0.04,0.07152557,0.01666667,0.09106918,0.01666667
0.05,0.08026759,0.02083333,0.1021999,0.02083333
0.06,0.08900961,0.025,0.1133305,0.025
0.07,0.09298325,0.02913333,0.1183899,0.02913333
0.08,0.09934107,0.03333334,0.126485,0.03333334
0.09,0.1120567,0.0375,0.1426751,0.0375
0.1,0.1263618,0.04163333,0.1608889,0.04163333
0.11,0.140667,0.04583333,0.1791027,0.04583333
0.12,0.1517932,0.05,0.1932691,0.05
0.13,0.1613299,0.05416667,0.2054116,0.05416667
0.14,0.1637141,0.05833333,0.2084472,0.05833333
0.15,0.1676877,0.06246667,0.2135066,0.06246667
0.16,0.1780192,0.06666667,0.2266611,0.06666667
0.17,0.1970927,0.07083333,0.2509462,0.07083333
0.18,0.2201398,0.07496667,0.2802907,0.07496667
0.19,0.2415975,0.07916667,0.3076115,0.07916667
0.2,0.2543131,0.08333334,0.3238015,0.08333334
0.21,0.2582868,0.0875,0.328861,0.0875
0.22,0.2614657,0.09166667,0.3329085,0.09166667
0.23,0.2725919,0.0958,0.3470748,0.0958
0.24,0.2908707,0.09996667,0.370348,0.09996666
0.25,0.3123283,0.1041667,0.3976688,0.1041667
0.26,0.3369649,0.1083,0.4290371,0.1083
0.27,0.3600121,0.1125,0.4583816,0.1125
0.28,0.3751119,0.1166667,0.4776073,0.1166667
0.29,0.3838539,0.1208333,0.488738,0.1208333
0.3,0.3933907,0.125,0.5008805,0.125
0.31,0.406901,0.1291333,0.5180825,0.1291333
0.32,0.4204114,0.1333333,0.5352845,0.1333333
0.33,0.4331271,0.1375,0.5514745,0.1375
0.34,0.4482269,0.1416333,0.5707002,0.1416333
0.35,0.4696846,0.1458333,0.598021,0.1458333
0.36,0.4998843,0.15,0.6364724,0.15
0.37,0.5332629,0.1541333,0.6789714,0.1541333
0.38,0.5610784,0.1583,0.7143871,0.1583
0.39,0.5761783,0.1624667,0.7336129,0.1624667
0.4,0.5801519,0.1666333,0.7386723,0.1666333
0.41,0.5817413,0.1708,0.7406961,0.1708
0.42,0.5904834,0.1749667,0.7518268,0.1749667
0.43,0.6151199,0.1791667,0.783195,0.1791667
0.44,0.6508827,0.1833333,0.8287296,0.1833333
0.45,0.6818771,0.1874667,0.8681929,0.1874667
0.46,0.6993611,0.1916667,0.8904542,0.1916667
0.47,0.7120768,0.1958,0.9066443,0.1958
0.48,0.726382,0.2,0.9248582,0.2
0.49,0.7446607,0.2041667,0.9481314,0.2041667
0.5,0.7637342,0.2083,0.9724165,0.2083
0.51,0.7812182,0.2125,0.9946779,0.2125
0.52,0.7979075,0.2166667,1.015927,0.2166667
0.53,0.8161862,0.2208333,1.039201,0.2208333
0.54,0.8352597,0.225,1.063486,0.225
0.55,0.8598964,0.2291333,1.094854,0.2291333
0.56,0.8853276,0.2333333,1.127234,0.2333333
0.57,0.9083748,0.2375,1.156579,0.2375
0.58,0.9306272,0.2416333,1.184911,0.2416333
0.59,0.9536743,0.2458333,1.214256,0.2458333
0.6,0.9767215,0.25,1.2436,0.25
0.61,0.995795,0.2541333,1.267885,0.2541333
0.62,1.013279,0.2583333,1.290147,0.2583333
0.63,1.031558,0.2624667,1.31342,0.2624667
0.64,1.052221,0.2666667,1.339729,0.2666667
0.65,1.075268,0.2708333,1.369073,0.2708333
0.66,1.096725,0.2749667,1.396394,0.2749667
0.67,1.122952,0.2791667,1.429786,0.2791667
0.68,1.152357,0.2833333,1.467226,0.2833333
0.69,1.178583,0.2875,1.500618,0.2875
0.7,1.200835,0.2916667,1.52895,0.2916667
0.71,1.222293,0.2958,1.556271,0.2958
0.72,1.244545,0.3,1.584604,0.3
0.73,1.268387,0.3041667,1.61496,0.3041667
0.74,1.291434,0.3083,1.644305,0.3083
0.75,1.311302,0.3125,1.669602,0.3125
0.76,1.324813,0.3166667,1.686804,0.3166667
0.77,1.341502,0.3208333,1.708053,0.3208333
0.78,1.370112,0.325,1.744481,0.325
0.79,1.403491,0.3291333,1.78698,0.3291333
0.8,1.430511,0.3333333,1.821384,0.3333333
0.81,1.451969,0.3375,1.848704,0.3375
0.82,1.472632,0.3416333,1.875013,0.3416333
0.83,1.495679,0.3458333,1.904358,0.3458333
0.84,1.516342,0.3499667,1.930667,0.3499667
0.85,1.535416,0.3541333,1.954952,0.3541333
0.86,1.558463,0.3583333,1.984296,0.3583333
0.87,1.587868,0.3624667,2.021736,0.3624667
0.88,1.617273,0.3666667,2.059175,0.3666667
0.89,1.644293,0.3708333,2.093579,0.3708333
0.9,1.667341,0.3749667,2.122924,0.3749667
0.91,1.690388,0.3791667,2.152268,0.3791667
0.92,1.711051,0.3833333,2.178577,0.3833333
0.93,1.728535,0.3875,2.200839,0.3875
0.94,1.746813,0.3916667,2.224112,0.3916667
0.95,1.767476,0.3958,2.250421,0.3958
