Time,Force,Stroke,Stress,Strain
0,0.05245209,0,0.06678407,0
0.01,0.055631,0.0042,0.07083159,0.0042
0.02,0.05722046,0.008333334,0.07285535,0.008333334
0.03,0.05880992,0.01253333,0.07487911,0.01253333
0.04,0.05960464,0.0167,0.07589099,0.0167
0.05,0.05960464,0.02083333,0.07589099,0.02083333
0.06,0.055631,0.02503333,0.07083159,0.02503333
0.07,0.055631,0.0292,0.07083159,0.0292
0.08,0.06278356,0.03336667,0.07993851,0.03336667
0.09,0.06914139,0.03753334,0.08803355,0.03753334
0.1,0.06993612,0.04166667,0.08904543,0.04166667
0.11,0.0723203,0.04586667,0.09208107,0.04586667
0.12,0.08265177,0.05003333,0.1052355,0.05003333
0.13,0.09695689,0.05416667,0.1234493,0.05416667
0.14,0.1088778,0.05836667,0.1386275,0.05836667
0.15,0.1176198,0.06253333,0.1497582,0.06253333
0.16,0.1263618,0.06666667,0.1608889,0.06666667
0.17,0.1351039,0.07086667,0.1720196,0.07086667
0.18,0.140667,0.075,0.1791027,0.075
0.19,0.1390775,0.07916667,0.177079,0.07916667
0.2,0.1351039,0.08336667,0.1720196,0.08336667
0.21,0.1382828,0.0875,0.1760671,0.0875
0.22,0.1509984,0.0917,0.1922572,0.0917
0.23,0.1653035,0.09583333,0.210471,0.09583333
0.24,0.1700719,0.1,0.2165423,0.1
0.25,0.1637141,0.1042,0.2084472,0.1042
0.26,0.1573563,0.1083333,0.2003522,0.1083333
0.27,0.1613299,0.1125,0.2054116,0.1125
0.28,0.1700719,0.1167,0.2165423,0.1167
0.29,0.1740456,0.1208333,0.2216017,0.1208333
0.3,0.1740456,0.1250333,0.2216017,0.1250333
0.31,0.1780192,0.1292,0.2266611,0.1292
0.32,0.1883507,0.1333333,0.2398155,0.1333333
0.33,0.2010663,0.1375333,0.2560056,0.1375333
0.34,0.2177556,0.1416667,0.2772551,0.1416667
0.35,0.2352397,0.1458333,0.2995164,0.1458333
0.36,0.2535184,0.1500333,0.3227897,0.1500333
0.37,0.2686183,0.1541667,0.3420154,0.1541667
0.38,0.2829234,0.1583667,0.3602292,0.1583667
0.39,0.2940496,0.1625,0.3743955,0.1625
0.4,0.3019969,0.1666667,0.3845143,0.1666667
0.41,0.316302,0.1708667,0.4027282,0.1708667
0.42,0.3433228,0.175,0.4371321,0.175
0.43,0.3687541,0.1792,0.4695122,0.1792
0.44,0.380675,0.1833667,0.4846904,0.1833667
0.45,0.3902117,0.1875,0.496833,0.1875
0.46,0.41008,0.1917,0.52213,0.1917
0.47,0.4378954,0.1958667,0.5575458,0.1958667
0.48,0.4633268,0.2000333,0.5899259,0.2000333
0.49,0.4839897,0.2042,0.6162348,0.2042
0.5,0.5030632,0.2083333,0.6405199,0.2083333
0.51,0.5261104,0.2125333,0.6698645,0.2125333
0.52,0.5531311,0.2167,0.7042684,0.2167
0.53,0.5793571,0.2208333,0.7376604,0.2208333
0.54,0.6087621,0.2250333,0.7750999,0.2250333
0.55,0.6429355,0.2291667,0.8186108,0.2291667
0.56,0.6779035,0.2333333,0.8631335,0.2333333
0.57,0.705719,0.2375333,0.8985493,0.2375333
0.58,0.726382,0.2416667,0.9248582,0.2416667
0.59,0.7454554,0.2458333,0.9491434,0.2458333
0.6,0.7661183,0.2500333,0.9754521,0.2500333
0.61,0.7891655,0.2541667,1.004797,0.2541667
0.62,0.8201599,0.2583667,1.04426,0.2583667
0.63,0.8598964,0.2625333,1.094854,0.2625333
0.64,0.8996328,0.2667,1.145448,0.2667
0.65,0.9250641,0.2708667,1.177828,0.2708667
