Time,Force,Stroke,Stress,Strain
0,0.05960464,0,0.07589099,0
0.01,0.06914139,0.0042,0.08803355,0.0042
0.02,0.08026759,0.008333334,0.1021999,0.008333334
0.03,0.0945727,0.0125,0.1204137,0.0125
0.04,0.1096725,0.01666667,0.1396394,0.01666667
0.05,0.1239777,0.02083333,0.1578533,0.02083333
0.06,0.1382828,0.025,0.1760671,0.025
0.07,0.1549721,0.02916667,0.1973166,0.02916666
0.08,0.1724561,0.03333334,0.2195779,0.03333334
0.09,0.1891454,0.0375,0.2408274,0.0375
0.1,0.2113978,0.04166667,0.26916,0.04166667
0.11,0.2408028,0.04583333,0.3065996,0.04583333
0.12,0.2741814,0.05,0.3490985,0.05
0.13,0.30756,0.05416667,0.3915975,0.05416667
0.14,0.3409386,0.05833333,0.4340965,0.05833333
0.15,0.3711382,0.0625,0.4725479,0.0625
0.16,0.4045168,0.06666667,0.5150468,0.06666667
0.17,0.4378954,0.07083333,0.5575458,0.07083333
0.18,0.471274,0.075,0.6000447,0.075
0.19,0.5030632,0.07916667,0.6405199,0.07916667
0.2,0.5380313,0.0833,0.6850427,0.0833
0.21,0.5817413,0.0875,0.7406961,0.0875
0.22,0.6278356,0.09166667,0.7993851,0.09166667
0.23,0.667572,0.0958,0.8499791,0.0958
0.24,0.6993611,0.1,0.8904542,0.1
0.25,0.731945,0.1041667,0.9319413,0.1041667
0.26,0.7716815,0.1083333,0.9825354,0.1083333
0.27,0.8145968,0.1125,1.037177,0.1125
0.28,0.8583069,0.1166667,1.09283,0.1166667
0.29,0.9020169,0.1208333,1.148484,0.1208333
0.3,0.9473165,0.125,1.206161,0.125
0.31,0.9918213,0.1291667,1.262826,0.1291667
0.32,1.037121,0.1333333,1.320503,0.1333333
0.33,1.081626,0.1375,1.377168,0.1375
0.34,1.130104,0.1416667,1.438893,0.1416667
0.35,1.181761,0.1458667,1.504665,0.1458667
0.36,1.234213,0.15,1.571449,0.15
0.37,1.286666,0.1541667,1.638233,0.1541667
0.38,1.340707,0.1583333,1.707041,0.1583333
0.39,1.399517,0.1624667,1.78192,0.1624667
0.4,1.459916,0.1666667,1.858823,0.1666667
0.41,1.512369,0.1708333,1.925607,0.1708333
0.42,1.560052,0.175,1.98632,0.175
0.43,1.612504,0.1791667,2.053104,0.1791667
0.44,1.675288,0.1833333,2.133043,0.1833333
0.45,1.736482,0.1875,2.210958,0.1875
0.46,1.794497,0.1916667,2.284825,0.1916667
0.47,1.852512,0.1958333,2.358692,0.1958333
0.48,1.916091,0.2,2.439642,0.2
0.49,1.980464,0.2041667,2.521605,0.2041667
0.5,2.039274,0.2083333,2.596484,0.2083333
0.51,2.090931,0.2125,2.662256,0.2125
0.52,2.13782,0.2166667,2.721957,0.2166667
