Time,Force,Stroke,Stress,Strain
0,0.05483627,0,0.06981971,0
0.01,0.0611941,0.004166667,0.07791475,0.004166667
0.02,0.06993612,0.008333334,0.08904543,0.008333334
0.03,0.08026759,0.01246667,0.1021999,0.01246667
0.04,0.08821487,0.01666667,0.1123187,0.01666667
0.05,0.08900961,0.02086667,0.1133305,0.02086667
0.06,0.08821487,0.025,0.1123187,0.025
0.07,0.0945727,0.02916667,0.1204137,0.02916666
0.08,0.1072884,0.03333334,0.1366038,0.03333334
0.09,0.1223882,0.0375,0.1558295,0.0375
0.1,0.1319249,0.04166667,0.167972,0.04166667
0.11,0.1351039,0.04583333,0.1720196,0.04583333
0.12,0.1351039,0.05,0.1720196,0.05
0.13,0.1390775,0.05416667,0.177079,0.05416667
0.14,0.1517932,0.05833333,0.1932691,0.05833333
0.15,0.1740456,0.06253333,0.2216017,0.06253333
0.16,0.193119,0.06666667,0.2458868,0.06666667
0.17,0.2058347,0.07083333,0.2620769,0.07083333
0.18,0.2161662,0.07503334,0.2752313,0.07503334
0.19,0.231266,0.07913333,0.294457,0.07913333
0.2,0.2471606,0.08333334,0.3146946,0.08333334
0.21,0.2582868,0.0875,0.328861,0.0875
0.22,0.2710024,0.09166667,0.345051,0.09166667
0.23,0.286897,0.09583333,0.3652886,0.09583333
0.24,0.3035863,0.1,0.3865381,0.1
0.25,0.325044,0.1041667,0.4138589,0.1041667
0.26,0.3520648,0.1083333,0.4482628,0.1083333
0.27,0.3774961,0.1124667,0.4806429,0.1124667
0.28,0.398159,0.1166667,0.5069518,0.1166667
0.29,0.4204114,0.1208333,0.5352845,0.1208333
0.3,0.4466375,0.125,0.5686765,0.125
0.31,0.4776319,0.1291667,0.6081398,0.1291667
0.32,0.5086263,0.1333333,0.6476031,0.1333333
0.33,0.5364418,0.1375,0.6830189,0.1375
0.34,0.5666415,0.1416667,0.7214704,0.1416667
0.35,0.5968412,0.1458333,0.7599217,0.1458333
0.36,0.6318092,0.15,0.8044445,0.15
0.37,0.6691615,0.1541667,0.8520029,0.1541667
0.38,0.705719,0.1583333,0.8985493,0.1583333
0.39,0.7390976,0.1625,0.9410483,0.1625
0.4,0.7685025,0.1666667,0.9784878,0.1666667
0.41,0.7971128,0.1708333,1.014915,0.1708333
0.42,0.8241336,0.175,1.049319,0.175
0.43,0.8511543,0.1791333,1.083723,0.1791333
0.44,0.8789698,0.1833333,1.119139,0.1833333
0.45,0.910759,0.1875,1.159614,0.1875
0.46,0.9441376,0.1916667,1.202113,0.1916667
0.47,0.9775162,0.1958333,1.244612,0.1958333
0.48,1.010895,0.2,1.287111,0.2
0.49,1.046658,0.2041667,1.332646,0.2041667
0.5,1.085599,0.2083333,1.382228,0.2083333
0.51,1.121362,0.2125,1.427763,0.2125
0.52,1.152357,0.2166667,1.467226,0.2166667
0.53,1.184146,0.2208333,1.507701,0.2208333
0.54,1.225471,0.225,1.560319,0.225
0.55,1.27395,0.2291667,1.622043,0.2291667
0.56,1.326402,0.2333333,1.688828,0.2333333
0.57,1.366138,0.2375,1.739421,0.2375
0.58,1.393159,0.2416667,1.773825,0.2416667
0.59,1.414617,0.2458333,1.801146,0.2458333
0.6,1.444817,0.25,1.839598,0.25
0.61,1.481374,0.2541667,1.886144,0.2541667
0.62,1.521111,0.2583333,1.936738,0.2583333
0.63,1.56641,0.2625,1.994415,0.2625
0.64,1.613299,0.2666667,2.054116,0.2666667
0.65,1.660983,0.2708333,2.114829,0.2708333
0.66,1.706282,0.275,2.172506,0.275
0.67,1.748403,0.2791333,2.226136,0.2791333
0.68,1.788139,0.2833333,2.27673,0.2833333
0.69,1.823902,0.2875,2.322264,0.2875
0.7,1.853307,0.2916667,2.359704,0.2916667
0.71,1.884302,0.2958333,2.399167,0.2958333
0.72,1.922449,0.3,2.447737,0.3
0.73,1.964569,0.3041667,2.501367,0.3041667
0.74,2.004306,0.3083333,2.551961,0.3083333
0.75,2.041658,0.3125,2.599519,0.3125
0.76,2.081394,0.3166667,2.650113,0.3166667
0.77,2.129078,0.3208667,2.710826,0.3208667
0.78,2.17994,0.325,2.775586,0.325
0.79,2.22683,0.3291667,2.835287,0.3291667
0.8,2.267361,0.3333333,2.886893,0.3333333
0.81,2.307097,0.3375,2.937487,0.3375
0.82,2.352397,0.3416667,2.995164,0.3416667
0.83,2.400875,0.3458,3.056889,0.3458
0.84,2.444585,0.35,3.112542,0.35
0.85,2.484322,0.3541667,3.163136,0.3541667
0.86,2.520084,0.3583333,3.208671,0.3583333
0.87,2.551873,0.3625333,3.249146,0.3625333
0.88,2.585252,0.3666667,3.291645,0.3666667
0.89,2.630552,0.3708333,3.349322,0.3708333
0.9,2.67903,0.375,3.411047,0.375
0.91,2.725124,0.3791667,3.469736,0.3791667
0.92,2.767245,0.3833333,3.523366,0.3833333
0.93,2.810955,0.3875,3.579019,0.3875
0.94,2.854665,0.3916667,3.634672,0.3916667
0.95,2.894402,0.3958333,3.685266,0.3958333
0.96,2.934138,0.4,3.735861,0.4
0.97,2.976259,0.4041667,3.78949,0.4041667
0.98,3.021558,0.4083333,3.847167,0.4083334
0.99,3.066063,0.4124667,3.903832,0.4124666
1,3.107389,0.4166667,3.95645,0.4166666
1.01,3.143152,0.4208333,4.001985,0.4208333
1.02,3.17812,0.425,4.046507,0.425
1.03,3.214677,0.4291667,4.093054,0.4291667
1.04,3.256003,0.4333333,4.145672,0.4333334
1.05,3.306071,0.4375,4.20942,0.4375
1.06,3.358523,0.4416667,4.276204,0.4416666
1.07,3.406207,0.4458333,4.336917,0.4458333
1.08,3.44038,0.45,4.380428,0.45
1.09,3.467401,0.4541667,4.414832,0.4541667
