Time,Force,Stroke,Stress,Strain
0,0.06278356,0,0.07993851,0
0.01,0.06914139,0.004166667,0.08803355,0.004166667
0.02,0.06914139,0.008333334,0.08803355,0.008333334
0.03,0.07152557,0.0125,0.09106918,0.0125
0.04,0.07947286,0.01666667,0.101188,0.01666667
0.05,0.09218851,0.02083333,0.1173781,0.02083333
0.06,0.1056989,0.02503333,0.13458,0.02503333
0.07,0.1176198,0.02916667,0.1497582,0.02916666
0.08,0.1239777,0.03333334,0.1578533,0.03333334
0.09,0.1263618,0.03753334,0.1608889,0.03753334
0.1,0.1319249,0.04166667,0.167972,0.04166667
0.11,0.1430511,0.04583333,0.1821384,0.04583333
0.12,0.1597404,0.05,0.2033879,0.05
0.13,0.175635,0.05416667,0.2236255,0.05416667
0.14,0.1883507,0.05833333,0.2398155,0.05833333
0.15,0.2018611,0.0625,0.2570175,0.0625
0.16,0.2177556,0.06666667,0.2772551,0.06666667
0.17,0.2328555,0.07083333,0.2964808,0.07083333
0.18,0.2471606,0.07496667,0.3146946,0.07496667
0.19,0.2582868,0.07916667,0.328861,0.07916667
0.2,0.2710024,0.08333334,0.345051,0.08333334
0.21,0.2853076,0.0875,0.3632649,0.0875
0.22,0.3012021,0.09166667,0.3835025,0.09166667
0.23,0.3123283,0.09583333,0.3976688,0.09583333
0.24,0.3266335,0.1,0.4158826,0.1
0.25,0.3441175,0.1041667,0.438144,0.1041667
0.26,0.3623962,0.1083,0.4614172,0.1083
0.27,0.3790855,0.1125,0.4826667,0.1125
0.28,0.3957748,0.1166667,0.5039161,0.1166667
0.29,0.4108747,0.1208333,0.5231419,0.1208333
0.3,0.4235903,0.125,0.539332,0.125
0.31,0.4394849,0.1291333,0.5595696,0.1291333
0.32,0.4601479,0.1333333,0.5858784,0.1333333
0.33,0.4871686,0.1375,0.6202824,0.1375
0.34,0.5125999,0.1416333,0.6526625,0.1416333
0.35,0.530084,0.1458333,0.6749238,0.1458333
0.36,0.5404155,0.15,0.6880783,0.15
0.37,0.5523364,0.1541667,0.7032565,0.1541667
0.38,0.5666415,0.1583333,0.7214704,0.1583333
0.39,0.582536,0.1624667,0.7417079,0.1624667
0.4,0.6008148,0.1666667,0.7649812,0.1666667
0.41,0.6175041,0.1708333,0.7862306,0.1708333
0.42,0.6278356,0.1749667,0.7993851,0.1749667
0.43,0.6389618,0.1791667,0.8135514,0.1791667
0.44,0.6532669,0.1833333,0.8317652,0.1833333
0.45,0.6691615,0.1875,0.8520029,0.1875
0.46,0.6858508,0.1916667,0.8732523,0.1916667
0.47,0.705719,0.1958333,0.8985493,0.1958333
0.48,0.7287661,0.2,0.9278938,0.2
0.49,0.749429,0.2041667,0.9542027,0.2041667
0.5,0.7653236,0.2083,0.9744403,0.2083
0.51,0.778834,0.2125,0.9916423,0.2125
0.52,0.7931392,0.2166667,1.009856,0.2166667
0.53,0.8058548,0.2208,1.026046,0.2208
0.54,0.8145968,0.225,1.037177,0.225
0.55,0.8249283,0.2291667,1.050331,0.2291667
0.56,0.8312861,0.2333333,1.058426,0.2333333
0.57,0.8384387,0.2375,1.067533,0.2375
0.58,0.8471807,0.2416333,1.078664,0.2416333
0.59,0.8622805,0.2458333,1.09789,0.2458333
0.6,0.8789698,0.25,1.119139,0.25
0.61,0.8916855,0.2541333,1.135329,0.2541333
0.62,0.9059906,0.2583333,1.153543,0.2583333
0.63,0.9226799,0.2625,1.174793,0.2625
0.64,0.9377797,0.2666667,1.194018,0.2666667
0.65,0.9520848,0.2708333,1.212232,0.2708333
0.66,0.9640058,0.275,1.22741,0.275
0.67,0.975132,0.2791667,1.241577,0.2791667
0.68,0.9878476,0.2833333,1.257767,0.2833333
0.69,1.000563,0.2875,1.273957,0.2875
0.7,1.017253,0.2916667,1.295206,0.2916667
0.71,1.033942,0.2958,1.316456,0.2958
0.72,1.049837,0.3,1.336693,0.3
0.73,1.064936,0.3041667,1.355919,0.3041667
0.74,1.081626,0.3083,1.377168,0.3083
0.75,1.095931,0.3125,1.395382,0.3125
0.76,1.103083,0.3166667,1.404489,0.3166667
0.77,1.107057,0.3208,1.409549,0.3208
