Time,Force,Stroke,Stress,Strain
0,0.05324681,0,0.06779595,0
0.01,0.06516775,0.0042,0.08297415,0.0042
0.02,0.0778834,0.008333334,0.09916423,0.008333334
0.03,0.08583069,0.01253333,0.109283,0.01253333
0.04,0.09298325,0.01666667,0.1183899,0.01666667
0.05,0.1049042,0.02083333,0.1335681,0.02083333
0.06,0.1192093,0.02503333,0.151782,0.02503333
0.07,0.1279513,0.02916667,0.1629127,0.02916666
0.08,0.1343091,0.03333334,0.1710077,0.03333334
0.09,0.1446406,0.03753334,0.1841621,0.03753334
0.1,0.1557668,0.04166667,0.1983285,0.04166667
0.11,0.1660983,0.04586667,0.2114829,0.04586667
0.12,0.1716614,0.05003333,0.218566,0.05003333
0.13,0.175635,0.05416667,0.2236255,0.05416667
0.14,0.1827876,0.05833333,0.2327324,0.05833333
0.15,0.1955032,0.0625,0.2489224,0.0625
0.16,0.2082189,0.06666667,0.2651125,0.06666667
0.17,0.2177556,0.07086667,0.2772551,0.07086667
0.18,0.2264977,0.075,0.2883857,0.075
0.19,0.2352397,0.07916667,0.2995164,0.07916667
0.2,0.2415975,0.08333334,0.3076115,0.08333334
0.21,0.2479553,0.0875,0.3157065,0.0875
0.22,0.2582868,0.0917,0.328861,0.0917
0.23,0.2765656,0.09583333,0.3521342,0.09583333
0.24,0.2948443,0.1,0.3754074,0.1
0.25,0.30756,0.1042,0.3915975,0.1042
0.26,0.3178914,0.1083333,0.404752,0.1083333
0.27,0.3274282,0.1125,0.4168945,0.1125
0.28,0.3417333,0.1166667,0.4351083,0.1166667
0.29,0.3560384,0.1208333,0.4533222,0.1208333
0.3,0.3687541,0.1250333,0.4695122,0.1250333
0.31,0.3838539,0.1291667,0.488738,0.1291667
0.32,0.4005432,0.1333333,0.5099875,0.1333333
0.33,0.4148483,0.1375333,0.5282013,0.1375333
0.34,0.4267693,0.1416667,0.5433795,0.1416667
0.35,0.4378954,0.1458333,0.5575458,0.1458333
0.36,0.4498164,0.1500333,0.572724,0.1500333
0.37,0.4633268,0.1541667,0.5899259,0.1541667
0.38,0.483195,0.1583667,0.6152229,0.1583667
0.39,0.5070369,0.1625,0.6455794,0.1625
0.4,0.530084,0.1666667,0.6749238,0.1666667
0.41,0.5443891,0.1708667,0.6931376,0.1708667
0.42,0.55631,0.175,0.7083158,0.175
0.43,0.5714099,0.1791667,0.7275416,0.1791667
0.44,0.5920728,0.1833333,0.7538505,0.1833333
0.45,0.6111463,0.1875,0.7781356,0.1875
0.46,0.6262462,0.1917,0.7973614,0.1917
0.47,0.6405513,0.1958333,0.8155752,0.1958333
0.48,0.6572406,0.2,0.8368247,0.2
0.49,0.6723404,0.2042,0.8560504,0.2042
0.5,0.6866455,0.2083333,0.8742642,0.2083333
0.51,0.7033348,0.2125,0.8955137,0.2125
0.52,0.7255872,0.2166667,0.9238463,0.2166667
0.53,0.749429,0.2208333,0.9542027,0.2208333
0.54,0.7724762,0.2250333,0.9835472,0.2250333
0.55,0.7915497,0.2291667,1.007832,0.2291667
0.56,0.8034706,0.2333333,1.02301,0.2333333
0.57,0.8058548,0.2375333,1.026046,0.2375333
0.58,0.808239,0.2416667,1.029082,0.2416667
0.59,0.8185704,0.2458333,1.042236,0.2458333
0.6,0.8384387,0.25,1.067533,0.25
0.61,0.8614858,0.2541667,1.096878,0.2541667
0.62,0.881354,0.2583667,1.122175,0.2583667
0.63,0.8972486,0.2625,1.142412,0.2625
0.64,0.9099643,0.2667,1.158602,0.2667
0.65,0.9274483,0.2708667,1.180864,0.2708667
0.66,0.9600322,0.275,1.222351,0.275
0.67,0.9981791,0.2791667,1.270921,0.2791667
0.68,1.027584,0.2833667,1.308361,0.2833667
0.69,1.046658,0.2875,1.332646,0.2875
0.7,1.060963,0.2917,1.35086,0.2917
0.71,1.069705,0.2958667,1.36199,0.2958667
0.72,1.073678,0.3000333,1.36705,0.3000333
0.73,1.080036,0.3041667,1.375145,0.3041667
0.74,1.095931,0.3083333,1.395382,0.3083333
0.75,1.119773,0.3125,1.425739,0.3125
0.76,1.146793,0.3166667,1.460143,0.3166667
0.77,1.16984,0.3208333,1.489487,0.3208333
0.78,1.188119,0.3250333,1.51276,0.3250333
0.79,1.205603,0.3291667,1.535022,0.3291667
