Time,Force,Stroke,Stress,Strain
0,0.05483627,0,0.06981971,0
0.01,0.06596247,0.0042,0.08398602,0.0042
0.02,0.08026759,0.008333334,0.1021999,0.008333334
0.03,0.09059906,0.0125,0.1153543,0.0125
0.04,0.09934107,0.0167,0.126485,0.0167
0.05,0.1160304,0.02083333,0.1477344,0.02083333
0.06,0.1430511,0.025,0.1821384,0.025
0.07,0.1676877,0.02916667,0.2135066,0.02916666
0.08,0.1827876,0.03333334,0.2327324,0.03333334
0.09,0.1947085,0.03753334,0.2479106,0.03753334
0.1,0.2058347,0.04166667,0.2620769,0.04166667
0.11,0.2177556,0.04586667,0.2772551,0.04586667
0.12,0.2304713,0.05003333,0.2934452,0.05003333
0.13,0.2479553,0.05416667,0.3157065,0.05416667
0.14,0.2702077,0.05836667,0.3440392,0.05836667
0.15,0.2908707,0.06253333,0.370348,0.06253333
0.16,0.3083547,0.06666667,0.3926094,0.06666667
0.17,0.3242493,0.07086667,0.412847,0.07086667
0.18,0.3433228,0.075,0.4371321,0.075
0.19,0.3671646,0.0792,0.4674885,0.0792
0.2,0.3933907,0.08333334,0.5008805,0.08333334
0.21,0.4212061,0.0875,0.5362963,0.0875
0.22,0.4498164,0.0917,0.572724,0.0917
0.23,0.4736582,0.09583333,0.6030804,0.09583333
0.24,0.4935265,0.1,0.6283774,0.1
0.25,0.5070369,0.1042,0.6455794,0.1042
0.26,0.5237262,0.1083333,0.6668289,0.1083333
0.27,0.5491574,0.1125,0.699209,0.1125
0.28,0.5841255,0.1167,0.7437317,0.1167
0.29,0.623862,0.1208333,0.7943257,0.1208333
0.3,0.6596248,0.125,0.8398603,0.125
0.31,0.6890297,0.1291667,0.8772998,0.1291667
0.32,0.7176399,0.1333667,0.9137275,0.1333667
0.33,0.7454554,0.1375333,0.9491434,0.1375333
0.34,0.7748604,0.1416667,0.9865829,0.1416667
0.35,0.8034706,0.1458333,1.02301,0.1458333
0.36,0.8289019,0.15,1.055391,0.15
0.37,0.8559227,0.1541667,1.089795,0.1541667
0.38,0.8869171,0.1583667,1.129258,0.1583667
0.39,0.9147326,0.1625,1.164674,0.1625
0.4,0.9377797,0.1666667,1.194018,0.1666667
0.41,0.9584427,0.1708667,1.220327,0.1708667
0.42,0.9814898,0.175,1.249672,0.175
0.43,1.004537,0.1791667,1.279016,0.1791667
0.44,1.031558,0.1833667,1.31342,0.1833667
0.45,1.066526,0.1875,1.357943,0.1875
0.46,1.106262,0.1917,1.408537,0.1917
0.47,1.14282,0.1958333,1.455083,0.1958333
0.48,1.173814,0.2,1.494547,0.2
0.49,1.203219,0.2042,1.531986,0.2042
0.5,1.238187,0.2083333,1.576509,0.2083333
0.51,1.278718,0.2125333,1.628115,0.2125333
0.52,1.320044,0.2167,1.680732,0.2167
0.53,1.355807,0.2208333,1.726267,0.2208333
0.54,1.389186,0.225,1.768766,0.225
