Time,Force,Stroke,Stress,Strain
0,0.055631,0,0.07083159,0
0.01,0.06596247,0.004166667,0.08398602,0.004166667
0.02,0.0778834,0.008366667,0.09916423,0.008366667
0.03,0.0945727,0.0125,0.1204137,0.0125
0.04,0.1136462,0.01666667,0.1446988,0.01666667
0.05,0.1263618,0.02086667,0.1608889,0.02086667
0.06,0.1319249,0.025,0.167972,0.025
0.07,0.140667,0.0292,0.1791027,0.0292
0.08,0.1549721,0.03336667,0.1973166,0.03336667
0.09,0.1716614,0.0375,0.218566,0.0375
0.1,0.1851718,0.04166667,0.235768,0.04166667
0.11,0.2018611,0.04583333,0.2570175,0.04583333
0.12,0.2185504,0.05,0.278267,0.05
0.13,0.2384186,0.0542,0.303564,0.0542
0.14,0.2598763,0.05833333,0.3308847,0.05833333
0.15,0.2829234,0.0625,0.3602292,0.0625
0.16,0.3019969,0.06666667,0.3845143,0.06666667
0.17,0.316302,0.07083333,0.4027282,0.07083333
0.18,0.3290176,0.07503334,0.4189183,0.07503334
0.19,0.3457069,0.07916667,0.4401677,0.07916667
0.2,0.3623962,0.08333334,0.4614172,0.08333334
0.21,0.3751119,0.08753333,0.4776073,0.08753333
0.22,0.3870328,0.09166667,0.4927855,0.09166667
0.23,0.4021327,0.09583333,0.5120112,0.09583333
0.24,0.4204114,0.1000333,0.5352845,0.1000333
0.25,0.4371007,0.1041667,0.5565339,0.1041667
0.26,0.4609426,0.1083667,0.5868903,0.1083667
0.27,0.4895528,0.1125,0.623318,0.1125
0.28,0.5165736,0.1167,0.6577219,0.1167
0.29,0.5340576,0.1208667,0.6799833,0.1208667
0.3,0.5459785,0.125,0.6951615,0.125
0.31,0.5626678,0.1291667,0.7164109,0.1291667
0.32,0.5865097,0.1333667,0.7467673,0.1333667
0.33,0.6151199,0.1375,0.783195,0.1375
0.34,0.6429355,0.1417,0.8186108,0.1417
0.35,0.6691615,0.1458667,0.8520029,0.1458667
0.36,0.6985664,0.15,0.8894424,0.15
0.37,0.7279714,0.1542,0.9268819,0.1542
0.38,0.7510185,0.1583333,0.9562265,0.1583333
0.39,0.7661183,0.1625,0.9754521,0.1625
0.4,0.778834,0.1666667,0.9916423,0.1666667
0.41,0.7915497,0.1708333,1.007832,0.1708333
0.42,0.8050601,0.1750333,1.025034,0.1750333
0.43,0.8161862,0.1791667,1.039201,0.1791667
0.44,0.834465,0.1833333,1.062474,0.1833333
0.45,0.8598964,0.1875333,1.094854,0.1875333
0.46,0.8893013,0.1916667,1.132294,0.1916667
0.47,0.9179115,0.1958667,1.168721,0.1958667
0.48,0.9409587,0.2000333,1.198066,0.2000333
0.49,0.9624164,0.2041667,1.225387,0.2041667
0.5,0.9814898,0.2083667,1.249672,0.2083667
0.51,1.000563,0.2125333,1.273957,0.2125333
0.52,1.020432,0.2166667,1.299254,0.2166667
0.53,1.041889,0.2208667,1.326574,0.2208667
0.54,1.064936,0.225,1.355919,0.225
0.55,1.086394,0.2292,1.38324,0.2292
0.56,1.106262,0.2333667,1.408537,0.2333667
0.57,1.129309,0.2375,1.437881,0.2375
0.58,1.157125,0.2417,1.473297,0.2417
0.59,1.189709,0.2458333,1.514784,0.2458333
0.6,1.221498,0.25,1.555259,0.25
0.61,1.248519,0.2542,1.589663,0.2542
0.62,1.27395,0.2583333,1.622043,0.2583333
0.63,1.296997,0.2625,1.651388,0.2625
0.64,1.318455,0.2666667,1.678709,0.2666667
0.65,1.341502,0.2708333,1.708053,0.2708333
0.66,1.366138,0.275,1.739421,0.275
0.67,1.390775,0.2791667,1.77079,0.2791667
0.68,1.416206,0.2833333,1.80317,0.2833333
0.69,1.440843,0.2875667,1.834538,0.2875667
0.7,1.467864,0.2917,1.868942,0.2917
0.71,1.491706,0.2958667,1.899298,0.2958667
0.72,1.512369,0.3000333,1.925607,0.3000333
0.73,1.531442,0.3042,1.949893,0.3042
0.74,1.552105,0.3083667,1.976201,0.3083667
0.75,1.576742,0.3125333,2.00757,0.3125333
0.76,1.603762,0.3167,2.041974,0.3167
0.77,1.629988,0.3209,2.075366,0.3209
0.78,1.654625,0.3250333,2.106734,0.3250333
0.79,1.673698,0.3292,2.131019,0.3292
0.8,1.688004,0.3333667,2.149233,0.3333667
0.81,1.707077,0.3375333,2.173518,0.3375333
0.82,1.732508,0.3417333,2.205898,0.3417333
0.83,1.765092,0.3458667,2.247385,0.3458667
0.84,1.796881,0.3500333,2.28786,0.3500333
0.85,1.823902,0.3542333,2.322264,0.3542333
0.86,1.84536,0.3583667,2.349585,0.3583667
0.87,1.867612,0.3625333,2.377918,0.3625333
0.88,1.893044,0.3667333,2.410298,0.3667333
0.89,1.924833,0.3708667,2.450773,0.3708667
0.9,1.957417,0.3750333,2.49226,0.3750333
0.91,1.985232,0.3792,2.527676,0.3792
0.92,2.008279,0.3833667,2.55702,0.3833667
0.93,2.034505,0.3875667,2.590412,0.3875667
0.94,2.06391,0.3917,2.627852,0.3917
0.95,2.091726,0.3958667,2.663268,0.3958667
0.96,2.117157,0.4000333,2.695648,0.4000333
0.97,2.141793,0.4042,2.727016,0.4042
0.98,2.16643,0.4084,2.758384,0.4084
0.99,2.187888,0.4125333,2.785705,0.4125333
1,2.212524,0.4167,2.817074,0.4167
1.01,2.237956,0.4209,2.849454,0.4209
1.02,2.263387,0.4250333,2.881834,0.4250333
1.03,2.286434,0.4292,2.911178,0.4292
1.04,2.311071,0.4333667,2.942547,0.4333667
1.05,2.338092,0.4375333,2.976951,0.4375333
1.06,2.365112,0.4417,3.011354,0.4417
1.07,2.390544,0.4458667,3.043735,0.4458667
1.08,2.411206,0.4500333,3.070043,0.4500333
1.09,2.434254,0.4542333,3.099388,0.4542333
1.1,2.463659,0.4583667,3.136827,0.4583667
1.11,2.494653,0.4625333,3.176291,0.4625334
1.12,2.524853,0.4667,3.214742,0.4667
1.13,2.555053,0.4708667,3.253194,0.4708667
1.14,2.581279,0.4750333,3.286586,0.4750333
1.15,2.608299,0.4792,3.32099,0.4792
1.16,2.63532,0.4833667,3.355393,0.4833667
1.17,2.66393,0.4875667,3.391821,0.4875667
1.18,2.69413,0.4917,3.430273,0.4917
1.19,2.727509,0.4958667,3.472772,0.4958667
1.2,2.754529,0.5000333,3.507175,0.5000333
1.21,2.779166,0.5042,3.538544,0.5042
1.22,2.806187,0.5083666,3.572948,0.5083666
1.23,2.836386,0.5125334,3.611399,0.5125334
1.24,2.869765,0.5167,3.653898,0.5167
1.25,2.903144,0.5209,3.696397,0.5209
1.26,2.931754,0.5250334,3.732825,0.5250334
1.27,2.955596,0.5292,3.763181,0.5292
1.28,2.980232,0.5333667,3.794549,0.5333667
1.29,3.008842,0.5375333,3.830977,0.5375333
1.3,3.034274,0.5417,3.863357,0.5417
1.31,3.061295,0.5458667,3.897761,0.5458667
1.32,3.091494,0.5500333,3.936213,0.5500333
1.33,3.128052,0.5542333,3.982759,0.5542333
1.34,3.159841,0.5583667,4.023234,0.5583667
1.35,3.182888,0.5625333,4.052579,0.5625333
1.36,3.205935,0.5667,4.081923,0.5667
1.37,3.232956,0.5708666,4.116327,0.5708666
1.38,3.26395,0.5750667,4.15579,0.5750667
1.39,3.29415,0.5792,4.194242,0.5792
1.4,3.323555,0.5833667,4.231681,0.5833667
1.41,3.354549,0.5875667,4.271145,0.5875667
1.42,3.386338,0.5917,4.31162,0.5917
1.43,3.418922,0.5958667,4.353107,0.5958667
1.44,3.444354,0.6000333,4.385488,0.6000333
1.45,3.469785,0.6042,4.417867,0.6042
1.46,3.504753,0.6083667,4.46239,0.6083667
1.47,3.54449,0.6125333,4.512984,0.6125333
1.48,3.584226,0.6167,4.563578,0.6167
1.49,3.618399,0.6209,4.607089,0.6209
1.5,3.64701,0.625,4.643517,0.625
1.51,3.676414,0.6292,4.680956,0.6292
1.52,3.709793,0.6333666,4.723455,0.6333666
1.53,3.741582,0.6375334,4.76393,0.6375334
1.54,3.770987,0.6417,4.80137,0.6417
1.55,3.799598,0.6458667,4.837798,0.6458667
1.56,3.833771,0.6500334,4.881309,0.6500334
1.57,3.867149,0.6542333,4.923807,0.6542333
1.58,3.897349,0.6583667,4.962259,0.6583667
1.59,3.925164,0.6625333,4.997674,0.6625333
1.6,3.962517,0.6667,5.045233,0.6667
1.61,4.004637,0.6708667,5.098862,0.6708667
1.62,4.044374,0.6750333,5.149457,0.6750333
1.63,4.079342,0.6792,5.193979,0.6792
1.64,4.11272,0.6833667,5.236478,0.6833667
1.65,4.148483,0.6875667,5.282013,0.6875667
1.66,4.184246,0.6917,5.327548,0.6917
1.67,4.221598,0.6958667,5.375105,0.6958667
1.68,4.257361,0.7000334,5.42064,0.7000334
1.69,4.29074,0.7042,5.463139,0.7042
1.7,4.316171,0.7083667,5.49552,0.7083667
1.71,4.343192,0.7125334,5.529923,0.7125334
