Time,Force,Stroke,Stress,Strain
0,0.05324681,0,0.06779595,0
0.01,0.06278356,0.0042,0.07993851,0.0042
0.02,0.06755193,0.008333334,0.08600979,0.008333334
0.03,0.06755193,0.0125,0.08600979,0.0125
0.04,0.06914139,0.01666667,0.08803355,0.01666667
0.05,0.08026759,0.02083333,0.1021999,0.02083333
0.06,0.0945727,0.025,0.1204137,0.025
0.07,0.10252,0.02916667,0.1305325,0.02916666
0.08,0.1072884,0.03333334,0.1366038,0.03333334
0.09,0.1120567,0.0375,0.1426751,0.0375
0.1,0.1215935,0.04166667,0.1548176,0.04166667
0.11,0.1327197,0.04583333,0.1689839,0.04583333
0.12,0.1446406,0.05003333,0.1841621,0.05003333
0.13,0.1557668,0.05416667,0.1983285,0.05416667
0.14,0.1676877,0.05833333,0.2135066,0.05833333
0.15,0.1804034,0.0625,0.2296967,0.0625
0.16,0.1891454,0.06666667,0.2408274,0.06666667
0.17,0.1907349,0.07083333,0.2428512,0.07083333
0.18,0.193119,0.075,0.2458868,0.075
0.19,0.2074242,0.07916667,0.2641006,0.07916667
0.2,0.231266,0.08333334,0.294457,0.08333334
0.21,0.2535184,0.0875,0.3227897,0.0875
0.22,0.2646446,0.09166667,0.336956,0.09166667
0.23,0.2702077,0.09583333,0.3440392,0.09583333
0.24,0.2749761,0.1,0.3501104,0.1
0.25,0.2829234,0.1042,0.3602292,0.1042
0.26,0.2940496,0.1083333,0.3743955,0.1083333
0.27,0.3083547,0.1125,0.3926094,0.1125
0.28,0.3202756,0.1167,0.4077876,0.1167
0.29,0.3290176,0.1208,0.4189183,0.1208
0.3,0.3409386,0.125,0.4340965,0.125
0.31,0.3560384,0.1291667,0.4533222,0.1291667
0.32,0.3711382,0.1333333,0.4725479,0.1333333
0.33,0.3830592,0.1375,0.4877261,0.1375
0.34,0.3933907,0.1416667,0.5008805,0.1416667
0.35,0.4045168,0.1458333,0.5150468,0.1458333
0.36,0.418822,0.15,0.5332606,0.15
0.37,0.4331271,0.1541667,0.5514745,0.1541667
0.38,0.4506111,0.1583333,0.5737359,0.1583333
0.39,0.4752477,0.1625,0.6051041,0.1625
0.4,0.500679,0.1666667,0.6374843,0.1666667
0.41,0.521342,0.1708333,0.6637932,0.1708333
0.42,0.5356471,0.175,0.682007,0.175
0.43,0.5483627,0.1791667,0.6981971,0.1791667
0.44,0.565052,0.1833667,0.7194466,0.1833667
0.45,0.582536,0.1875,0.7417079,0.1875
0.46,0.5992253,0.1916667,0.7629574,0.1916667
0.47,0.6135305,0.1958333,0.7811712,0.1958333
0.48,0.6262462,0.2,0.7973614,0.2
0.49,0.6365776,0.2041667,0.8105158,0.2041667
0.5,0.6469091,0.2083333,0.8236701,0.2083333
