Time,Force,Stroke,Stress,Strain
0,0.05324681,0,0.06779595,0
0.01,0.0611941,0.0042,0.07791475,0.0042
0.02,0.06993612,0.008333334,0.08904543,0.008333334
0.03,0.08185705,0.0125,0.1042236,0.0125
0.04,0.09218851,0.01666667,0.1173781,0.01666667
0.05,0.1009305,0.02083333,0.1285087,0.02083333
0.06,0.1120567,0.02503333,0.1426751,0.02503333
0.07,0.1279513,0.02916667,0.1629127,0.02916666
0.08,0.1454353,0.03333334,0.185174,0.03333334
0.09,0.1597404,0.03753334,0.2033879,0.03753334
0.1,0.1676877,0.04166667,0.2135066,0.04166667
0.11,0.1748403,0.04583333,0.2226136,0.04583333
0.12,0.1867612,0.05,0.2377918,0.05
0.13,0.2010663,0.05416667,0.2560056,0.05416667
0.14,0.2145767,0.05836667,0.2732075,0.05836667
0.15,0.2304713,0.0625,0.2934452,0.0625
0.16,0.2455711,0.06666667,0.3126709,0.06666667
0.17,0.2622604,0.07086667,0.3339204,0.07086667
0.18,0.2829234,0.075,0.3602292,0.075
0.19,0.3019969,0.07916667,0.3845143,0.07916667
0.2,0.3210703,0.08333334,0.4087994,0.08333334
0.21,0.3393491,0.0875,0.4320727,0.0875
0.22,0.3536542,0.09166667,0.4502865,0.09166667
0.23,0.3671646,0.09583333,0.4674885,0.09583333
0.24,0.3814697,0.1,0.4857023,0.1
0.25,0.3997485,0.1042,0.5089756,0.1042
0.26,0.4148483,0.1083333,0.5282013,0.1083333
0.27,0.4299482,0.1125,0.547427,0.1125
0.28,0.4482269,0.1166667,0.5707002,0.1166667
0.29,0.4688899,0.1208333,0.5970091,0.1208333
0.3,0.4895528,0.125,0.623318,0.125
0.31,0.5094211,0.1291667,0.648615,0.1291667
0.32,0.5332629,0.1333333,0.6789714,0.1333333
0.33,0.559489,0.1375,0.7123634,0.1375
0.34,0.5841255,0.1416667,0.7437317,0.1416667
0.35,0.6055832,0.1458333,0.7710524,0.1458333
0.36,0.6318092,0.15,0.8044445,0.15
0.37,0.6620089,0.1541667,0.8428959,0.1541667
0.38,0.6922086,0.1583667,0.8813473,0.1583667
0.39,0.7136663,0.1625,0.9086681,0.1625
0.4,0.7247925,0.1666667,0.9228344,0.1666667
0.41,0.7351239,0.1708667,0.9359888,0.1708667
0.42,0.7518132,0.175,0.9572383,0.175
0.43,0.7724762,0.1791667,0.9835472,0.1791667
0.44,0.7931392,0.1833333,1.009856,0.1833333
0.45,0.8177757,0.1875,1.041224,0.1875
0.46,0.8471807,0.1916667,1.078664,0.1916667
0.47,0.8765857,0.1958333,1.116104,0.1958333
0.48,0.8972486,0.2,1.142412,0.2
0.49,0.910759,0.2041667,1.159614,0.2041667
0.5,0.9274483,0.2083333,1.180864,0.2083333
0.51,0.9504954,0.2125,1.210208,0.2125
0.52,0.975132,0.2166667,1.241577,0.2166667
0.53,0.9997686,0.2208333,1.272945,0.2208333
0.54,1.022816,0.2250333,1.302289,0.2250333
0.55,1.049837,0.2291667,1.336693,0.2291667
0.56,1.080036,0.2333333,1.375145,0.2333333
0.57,1.108646,0.2375333,1.411572,0.2375333
0.58,1.136462,0.2416667,1.446988,0.2416667
0.59,1.167456,0.2458333,1.486452,0.2458333
0.6,1.196861,0.25,1.523891,0.25
0.61,1.215935,0.2541667,1.548176,0.2541667
0.62,1.22865,0.2583333,1.564366,0.2583333
0.63,1.248519,0.2625,1.589663,0.2625
0.64,1.271566,0.2666667,1.619008,0.2666667
0.65,1.28905,0.2708667,1.641269,0.2708667
0.66,1.304944,0.275,1.661507,0.275
0.67,1.326402,0.2791667,1.688828,0.2791667
0.68,1.359781,0.2833333,1.731326,0.2833333
0.69,1.397928,0.2875,1.779897,0.2875
0.7,1.430511,0.2917,1.821384,0.2917
0.71,1.447996,0.2958333,1.843645,0.2958333
0.72,1.460711,0.3,1.859835,0.3
0.73,1.481374,0.3042,1.886144,0.3042
0.74,1.514753,0.3083333,1.928643,0.3083333
0.75,1.550516,0.3125,1.974178,0.3125
0.76,1.583099,0.3166667,2.015665,0.3166667
0.77,1.612504,0.3208333,2.053104,0.3208333
0.78,1.64032,0.325,2.08852,0.325
0.79,1.663367,0.3291333,2.117864,0.3291333
0.8,1.68403,0.3333333,2.144173,0.3333333
0.81,1.702309,0.3375,2.167447,0.3375
0.82,1.722177,0.3416333,2.192744,0.3416333
0.83,1.745224,0.3458333,2.222088,0.3458333
0.84,1.77145,0.35,2.25548,0.35
0.85,1.799266,0.3541667,2.290896,0.3541667
0.86,1.827876,0.3583333,2.327324,0.3583333
0.87,1.851718,0.3625,2.35768,0.3625
0.88,1.87397,0.3666667,2.386013,0.3666667
0.89,1.895428,0.3708667,2.413333,0.3708667
0.9,1.920859,0.375,2.445714,0.375
0.91,1.947085,0.3791667,2.479105,0.3791667
0.92,1.974106,0.3833333,2.51351,0.3833333
0.93,2.000332,0.3875,2.546901,0.3875
0.94,2.024968,0.3917,2.57827,0.3917
0.95,2.051989,0.3958333,2.612674,0.3958333
0.96,2.07901,0.4,2.647078,0.4
0.97,2.102057,0.4041667,2.676422,0.4041667
0.98,2.121131,0.4083333,2.700707,0.4083334
0.99,2.146562,0.4125,2.733087,0.4125
1,2.179146,0.4166667,2.774575,0.4166666
1.01,2.206961,0.4208333,2.80999,0.4208333
1.02,2.229214,0.425,2.838323,0.425
1.03,2.253056,0.4291667,2.868679,0.4291667
1.04,2.288024,0.4333333,2.913202,0.4333334
1.05,2.322197,0.4375333,2.956713,0.4375333
1.06,2.350807,0.4416667,2.993141,0.4416666
1.07,2.374649,0.4458333,3.023497,0.4458333
1.08,2.40167,0.45,3.057901,0.45
1.09,2.431075,0.4541667,3.09534,0.4541667
1.1,2.458096,0.4583333,3.129744,0.4583334
1.11,2.482732,0.4625,3.161113,0.4625
1.12,2.50419,0.4666667,3.188433,0.4666666
1.13,2.526442,0.4708667,3.216766,0.4708667
1.14,2.557437,0.475,3.256229,0.475
1.15,2.59002,0.4791667,3.297716,0.4791667
1.16,2.622604,0.4833333,3.339204,0.4833334
1.17,2.648036,0.4875,3.371584,0.4875
1.18,2.671083,0.4917,3.400928,0.4917
1.19,2.696514,0.4958333,3.433308,0.4958333
1.2,2.729098,0.5,3.474796,0.5
1.21,2.764861,0.5042,3.52033,0.5042
1.22,2.794266,0.5083333,3.55777,0.5083333
1.23,2.814929,0.5125,3.584079,0.5125
1.24,2.835592,0.5166667,3.610387,0.5166667
1.25,2.863407,0.5208333,3.645803,0.5208333
1.26,2.894402,0.525,3.685266,0.525
1.27,2.923806,0.5291667,3.722706,0.5291667
1.28,2.951622,0.5333334,3.758122,0.5333334
1.29,2.981027,0.5375,3.795561,0.5375
1.3,3.011227,0.5416667,3.834013,0.5416667
1.31,3.040632,0.5458333,3.871452,0.5458333
1.32,3.070037,0.55,3.908892,0.55
1.33,3.103415,0.5541667,3.951391,0.5541667
1.34,3.137589,0.5583667,3.994902,0.5583667
1.35,3.172557,0.5625,4.039424,0.5625
1.36,3.199577,0.5666667,4.073828,0.5666667
1.37,3.219445,0.5708666,4.099125,0.5708666
1.38,3.239314,0.575,4.124423,0.575
1.39,3.258387,0.5791667,4.148707,0.5791667
1.4,3.277461,0.5833333,4.172993,0.5833333
1.41,3.302892,0.5875,4.205372,0.5875
1.42,3.338655,0.5916667,4.250907,0.5916667
1.43,3.377597,0.5958334,4.300489,0.5958334
1.44,3.410975,0.6,4.342988,0.6
1.45,3.438791,0.6042,4.378404,0.6042
1.46,3.461043,0.6083333,4.406737,0.6083333
1.47,3.481706,0.6125,4.433045,0.6125
1.48,3.513495,0.6166667,4.473521,0.6166667
1.49,3.557205,0.6208333,4.529174,0.6208333
1.5,3.600915,0.625,4.584827,0.625
1.51,3.631115,0.6291667,4.623279,0.6291667
1.52,3.654162,0.6333333,4.652624,0.6333333
1.53,3.676414,0.6375,4.680956,0.6375
1.54,3.700256,0.6416667,4.711313,0.6416667
1.55,3.724893,0.6458333,4.742681,0.6458333
1.56,3.74794,0.65,4.772026,0.65
1.57,3.778934,0.6541667,4.811489,0.6541667
1.58,3.816287,0.6583334,4.859047,0.6583334
1.59,3.852844,0.6625,4.905593,0.6625
1.6,3.883839,0.6666667,4.945057,0.6666667
1.61,3.906886,0.6708333,4.974401,0.6708333
1.62,3.928344,0.675,5.001722,0.675
1.63,3.955364,0.6791667,5.036126,0.6791667
1.64,3.987948,0.6833333,5.077613,0.6833333
1.65,4.021327,0.6875,5.120112,0.6875
1.66,4.054705,0.6916667,5.162611,0.6916667
1.67,4.091263,0.6958333,5.209157,0.6958333
1.68,4.132589,0.7,5.261775,0.7
1.69,4.173914,0.7041667,5.314393,0.7041667
1.7,4.206499,0.7083333,5.35588,0.7083333
1.71,4.233519,0.7125,5.390284,0.7125
1.72,4.26054,0.7166667,5.424688,0.7166667
1.73,4.28915,0.7208334,5.461115,0.7208334
1.74,4.31935,0.725,5.499567,0.725
1.75,4.354318,0.7291667,5.54409,0.7291667
1.76,4.39167,0.7333333,5.591648,0.7333333
1.77,4.42187,0.7375,5.630099,0.7375
1.78,4.445712,0.7416667,5.660456,0.7416667
1.79,4.467169,0.7458333,5.687777,0.7458333
1.8,4.496574,0.75,5.725216,0.75
1.81,4.529953,0.7541667,5.767715,0.7541667
1.82,4.559358,0.7583333,5.805155,0.7583333
1.83,4.586379,0.7625,5.839559,0.7625
1.84,4.620552,0.7666667,5.88307,0.7666667
1.85,4.659494,0.7708667,5.932652,0.7708667
1.86,4.691283,0.7749667,5.973126,0.7749667
1.87,4.716714,0.7791667,6.005507,0.7791667
1.88,4.743735,0.7833334,6.039911,0.7833334
1.89,4.785061,0.7875,6.092528,0.7875
1.9,4.828771,0.7916667,6.148182,0.7916666
1.91,4.864534,0.7958333,6.193717,0.7958334
1.92,4.891554,0.8,6.22812,0.8
1.93,4.922549,0.8041667,6.267583,0.8041667
1.94,4.962286,0.8083333,6.318178,0.8083333
1.95,5.002817,0.8125,6.369784,0.8125
1.96,5.037785,0.8166667,6.414306,0.8166667
1.97,5.058447,0.8208333,6.440615,0.8208333
1.98,5.071958,0.8250334,6.457818,0.8250333
1.99,5.09421,0.8291333,6.48615,0.8291333
