Time,Force,Stroke,Stress,Strain
0,0.055631,0,0.07083159,0
0.01,0.05722046,0.004166667,0.07285535,0.004166667
0.02,0.05722046,0.008333334,0.07285535,0.008333334
0.03,0.06357829,0.0125,0.08095039,0.0125
0.04,0.07629395,0.01666667,0.09714047,0.01666667
0.05,0.08583069,0.02083333,0.109283,0.02083333
0.06,0.09059906,0.025,0.1153543,0.025
0.07,0.09536743,0.02916667,0.1214256,0.02916666
0.08,0.10252,0.03333334,0.1305325,0.03333334
0.09,0.1056989,0.0375,0.13458,0.0375
0.1,0.1096725,0.04166667,0.1396394,0.04166667
0.11,0.1176198,0.04583333,0.1497582,0.04583333
0.12,0.1279513,0.05,0.1629127,0.05
0.13,0.1422564,0.05416667,0.1811265,0.05416667
0.14,0.1549721,0.05833333,0.1973166,0.05833333
0.15,0.1637141,0.0625,0.2084472,0.0625
0.16,0.1684825,0.06666667,0.2145185,0.06666667
0.17,0.1740456,0.07083333,0.2216017,0.07083333
0.18,0.1827876,0.075,0.2327324,0.075
0.19,0.1947085,0.07916667,0.2479106,0.07916667
0.2,0.2098083,0.08333334,0.2671363,0.08333334
0.21,0.2264977,0.08746666,0.2883857,0.08746666
0.22,0.2392133,0.09166667,0.3045758,0.09166667
0.23,0.2455711,0.09583333,0.3126709,0.09583333
0.24,0.2535184,0.1,0.3227897,0.1
0.25,0.2678235,0.1041667,0.3410035,0.1041667
0.26,0.2829234,0.1083333,0.3602292,0.1083333
0.27,0.2996127,0.1125,0.3814787,0.1125
0.28,0.316302,0.1166667,0.4027282,0.1166667
0.29,0.3353755,0.1208333,0.4270133,0.1208333
0.3,0.3504753,0.125,0.446239,0.125
0.31,0.3584226,0.1291667,0.4563578,0.1291667
0.32,0.3647804,0.1333333,0.4644529,0.1333333
0.33,0.3751119,0.1375,0.4776073,0.1375
0.34,0.3878275,0.1416667,0.4937974,0.1416667
0.35,0.4005432,0.1458333,0.5099875,0.1458333
0.36,0.4108747,0.15,0.5231419,0.15
0.37,0.4164378,0.1541667,0.530225,0.1541667
0.38,0.4267693,0.1583333,0.5433795,0.1583333
0.39,0.4482269,0.1624667,0.5707002,0.1624667
0.4,0.4776319,0.1666667,0.6081398,0.1666667
0.41,0.5030632,0.1708333,0.6405199,0.1708333
0.42,0.521342,0.1749667,0.6637932,0.1749667
0.43,0.5380313,0.1791667,0.6850427,0.1791667
0.44,0.5571048,0.1833333,0.7093278,0.1833333
0.45,0.5761783,0.1874667,0.7336129,0.1874667
0.46,0.594457,0.1916667,0.7568861,0.1916667
0.47,0.6127357,0.1958333,0.7801594,0.1958333
0.48,0.629425,0.2,0.8014088,0.2
0.49,0.6492932,0.2041667,0.8267058,0.2041667
0.5,0.6755193,0.2083,0.8600978,0.2083
0.51,0.7049243,0.2125,0.8975375,0.2125
0.52,0.7343292,0.2166667,0.934977,0.2166667
0.53,0.7581711,0.2208333,0.9653334,0.2208333
0.54,0.7828076,0.225,0.9967016,0.225
0.55,0.8042653,0.2291333,1.024022,0.2291333
0.56,0.8209546,0.2333333,1.045272,0.2333333
0.57,0.834465,0.2375,1.062474,0.2375
0.58,0.8479754,0.2416333,1.079676,0.2416333
0.59,0.8686383,0.2458333,1.105985,0.2458333
0.6,0.8972486,0.25,1.142412,0.25
0.61,0.9314219,0.2541333,1.185923,0.2541333
0.62,0.9584427,0.2583333,1.220327,0.2583333
0.63,0.975132,0.2624667,1.241577,0.2624667
0.64,0.9934108,0.2666333,1.26485,0.2666333
0.65,1.019637,0.2708333,1.298242,0.2708333
0.66,1.052221,0.275,1.339729,0.275
0.67,1.076063,0.2791667,1.370085,0.2791667
0.68,1.096725,0.2833333,1.396394,0.2833333
0.69,1.121362,0.2874667,1.427763,0.2874667
0.7,1.149178,0.2916667,1.463178,0.2916667
0.71,1.176198,0.2958,1.497582,0.2958
0.72,1.202424,0.3,1.530974,0.3
0.73,1.231829,0.3041667,1.568414,0.3041667
0.74,1.265208,0.3083,1.610913,0.3083
0.75,1.296997,0.3125,1.651388,0.3125
0.76,1.324813,0.3166667,1.686804,0.3166667
0.77,1.349449,0.3208333,1.718172,0.3208333
0.78,1.370112,0.325,1.744481,0.325
0.79,1.393159,0.3291667,1.773825,0.3291667
0.8,1.420975,0.3333333,1.809241,0.3333333
0.81,1.449585,0.3375,1.845669,0.3375
0.82,1.475016,0.3416333,1.878049,0.3416333
0.83,1.495679,0.3458333,1.904358,0.3458333
0.84,1.516342,0.35,1.930667,0.35
0.85,1.543363,0.3541667,1.965071,0.3541667
0.86,1.575152,0.3583333,2.005546,0.3583333
0.87,1.610915,0.3625,2.05108,0.3625
0.88,1.642704,0.3666667,2.091556,0.3666667
0.89,1.672904,0.3708333,2.130007,0.3708333
0.9,1.700719,0.375,2.165423,0.375
0.91,1.728535,0.3791667,2.200839,0.3791667
0.92,1.761119,0.3833333,2.242326,0.3833333
0.93,1.794497,0.3875,2.284825,0.3875
0.94,1.824697,0.3916667,2.323276,0.3916667
0.95,1.851718,0.3958333,2.35768,0.3958333
0.96,1.878738,0.4,2.392084,0.4
0.97,1.907349,0.4042,2.428512,0.4042
0.98,1.935164,0.4083,2.463927,0.4083
0.99,1.968543,0.4125,2.506426,0.4125
1,2.007484,0.4166667,2.556009,0.4166666
1.01,2.048016,0.4208,2.607614,0.4208
1.02,2.087752,0.425,2.658208,0.425
1.03,2.127488,0.4291667,2.708802,0.4291667
1.04,2.167225,0.4333333,2.759396,0.4333334
1.05,2.202988,0.4375,2.804931,0.4375
1.06,2.235572,0.4416667,2.846418,0.4416666
1.07,2.267361,0.4458333,2.886893,0.4458333
1.08,2.303123,0.45,2.932428,0.45
1.09,2.342065,0.4541667,2.98201,0.4541667
1.1,2.380212,0.4583333,3.03058,0.4583334
