Time,Force,Stroke,Stress,Strain
0,0.06278356,0,0.07993851,0
0.01,0.08662542,0.0042,0.1102949,0.0042
0.02,0.1072884,0.008333334,0.1366038,0.008333334
0.03,0.128746,0.0125,0.1639245,0.0125
0.04,0.1549721,0.0167,0.1973166,0.0167
0.05,0.1827876,0.02083333,0.2327324,0.02083333
0.06,0.2058347,0.02503333,0.2620769,0.02503333
0.07,0.2241135,0.0292,0.2853501,0.0292
0.08,0.2384186,0.03333334,0.303564,0.03333334
0.09,0.251929,0.03753334,0.3207659,0.03753334
0.1,0.2702077,0.04166667,0.3440392,0.04166667
0.11,0.2932549,0.04586667,0.3733837,0.04586667
0.12,0.3210703,0.05003333,0.4087994,0.05003333
0.13,0.3496806,0.05416667,0.4452271,0.05416667
0.14,0.3687541,0.05836667,0.4695122,0.05836667
0.15,0.3838539,0.06253333,0.488738,0.06253333
0.16,0.4045168,0.06666667,0.5150468,0.06666667
0.17,0.4355113,0.07086667,0.5545101,0.07086667
0.18,0.4696846,0.07503334,0.598021,0.07503334
0.19,0.500679,0.07916667,0.6374843,0.07916667
0.2,0.5316734,0.08336667,0.6769476,0.08336667
0.21,0.5626678,0.0875,0.7164109,0.0875
0.22,0.5920728,0.09166667,0.7538505,0.09166667
0.23,0.6214778,0.09586667,0.79129,0.09586667
0.24,0.6532669,0.1,0.8317652,0.1
0.25,0.6890297,0.1041667,0.8772998,0.1041667
0.26,0.7239978,0.1083333,0.9218225,0.1083333
0.27,0.749429,0.1125,0.9542027,0.1125
0.28,0.7685025,0.1167,0.9784878,0.1167
0.29,0.7915497,0.1208333,1.007832,0.1208333
0.3,0.8241336,0.1250333,1.049319,0.1250333
0.31,0.8662542,0.1292,1.102949,0.1292
0.32,0.9099643,0.1333333,1.158602,0.1333333
0.33,0.9457271,0.1375333,1.204137,0.1375333
0.34,0.975132,0.1416667,1.241577,0.1416667
0.35,1.006921,0.1458333,1.282052,0.1458333
0.36,1.045863,0.1500333,1.331634,0.1500333
0.37,1.08401,0.1541667,1.380204,0.1541667
0.38,1.117388,0.1583333,1.422703,0.1583333
0.39,1.145999,0.1625,1.459131,0.1625
0.4,1.172225,0.1666667,1.492523,0.1666667
0.41,1.198451,0.1708667,1.525915,0.1708667
0.42,1.222293,0.175,1.556271,0.175
0.43,1.250903,0.1791667,1.592699,0.1791667
0.44,1.282692,0.1833667,1.633174,0.1833667
0.45,1.314481,0.1875,1.673649,0.1875
0.46,1.344681,0.1916667,1.712101,0.1916667
0.47,1.378854,0.1958667,1.755612,0.1958667
0.48,1.418591,0.2,1.806206,0.2
0.49,1.460711,0.2042,1.859835,0.2042
0.5,1.504421,0.2083333,1.915489,0.2083333
0.51,1.549721,0.2125,1.973166,0.2125
0.52,1.589457,0.2167,2.02376,0.2167
0.53,1.621246,0.2208333,2.064235,0.2208333
0.54,1.649062,0.2250333,2.099651,0.2250333
0.55,1.68244,0.2292,2.14215,0.2292
0.56,1.719793,0.2333333,2.189708,0.2333333
0.57,1.754761,0.2375333,2.234231,0.2375333
0.58,1.784166,0.2416667,2.27167,0.2416667
0.59,1.81516,0.2458333,2.311134,0.2458333
0.6,1.849333,0.2500333,2.354644,0.2500333
0.61,1.878738,0.2541667,2.392084,0.2541667
0.62,1.903375,0.2583667,2.423452,0.2583667
0.63,1.930396,0.2625333,2.457856,0.2625333
0.64,1.966159,0.2666667,2.503391,0.2666667
0.65,2.008279,0.2708667,2.55702,0.2708667
0.66,2.045631,0.2750333,2.604579,0.2750333
0.67,2.075036,0.2791667,2.642018,0.2791667
0.68,2.102057,0.2833667,2.676422,0.2833667
0.69,2.131462,0.2875,2.713862,0.2875
0.7,2.16643,0.2917,2.758384,0.2917
0.71,2.202193,0.2958667,2.803919,0.2958667
0.72,2.24034,0.3,2.852489,0.3
0.73,2.28564,0.3042,2.910167,0.3042
0.74,2.330144,0.3083333,2.966832,0.3083333
0.75,2.373854,0.3125,3.022485,0.3125
0.76,2.411206,0.3167,3.070043,0.3167
0.77,2.442996,0.3208333,3.110519,0.3208333
0.78,2.47399,0.3250333,3.149982,0.3250333
0.79,2.510548,0.3292,3.196528,0.3292
0.8,2.553463,0.3333333,3.25117,0.3333333
0.81,2.597173,0.3375333,3.306823,0.3375333
0.82,2.632936,0.3416667,3.352358,0.3416667
0.83,2.666314,0.3458667,3.394857,0.3458667
0.84,2.699693,0.3500333,3.437356,0.3500333
0.85,2.736251,0.3541667,3.483902,0.3541667
0.86,2.775192,0.3583333,3.533484,0.3583333
0.87,2.813339,0.3625333,3.582055,0.3625333
0.88,2.846718,0.3666667,3.624554,0.3666667
0.89,2.878507,0.3708667,3.665029,0.3708667
0.9,2.915065,0.375,3.711575,0.375
0.91,2.951622,0.3792,3.758122,0.3792
0.92,2.990564,0.3833667,3.807704,0.3833667
0.93,3.026326,0.3875,3.853238,0.3875
0.94,3.058116,0.3917,3.893714,0.3917
0.95,3.086726,0.3958667,3.930141,0.3958667
0.96,3.118515,0.4,3.970617,0.4
0.97,3.155867,0.4042,4.018175,0.4042
0.98,3.195604,0.4083333,4.068769,0.4083334
0.99,3.231366,0.4125,4.114304,0.4125
1,3.267129,0.4166667,4.159838,0.4166666
1.01,3.304482,0.4208333,4.207397,0.4208333
1.02,3.342628,0.425,4.255967,0.425
1.03,3.382365,0.4292,4.306561,0.4292
1.04,3.422101,0.4333333,4.357154,0.4333334
1.05,3.457864,0.4375333,4.402689,0.4375333
1.06,3.494422,0.4416667,4.449236,0.4416666
1.07,3.534953,0.4458333,4.500842,0.4458333
1.08,3.582637,0.4500333,4.561554,0.4500333
1.09,3.626347,0.4541667,4.617208,0.4541667
1.1,3.664494,0.4583333,4.665778,0.4583334
1.11,3.696283,0.4625333,4.706253,0.4625334
1.12,3.727277,0.4666667,4.745717,0.4666666
1.13,3.760656,0.4708667,4.788215,0.4708667
1.14,3.801982,0.475,4.840833,0.475
1.15,3.842513,0.4791667,4.892439,0.4791667
1.16,3.879865,0.4833333,4.939997,0.4833334
1.17,3.914833,0.4875,4.98452,0.4875
1.18,3.949006,0.4916667,5.028031,0.4916666
1.19,3.986359,0.4958333,5.075589,0.4958333
1.2,4.019737,0.5,5.118088,0.5
1.21,4.054705,0.5041667,5.162611,0.5041667
1.22,4.091263,0.5083333,5.209157,0.5083333
1.23,4.127026,0.5125,5.254692,0.5125
1.24,4.160404,0.5167,5.297191,0.5167
1.25,4.199346,0.5208333,5.346773,0.5208333
1.26,4.24544,0.525,5.405462,0.525
1.27,4.287561,0.5292,5.459092,0.5292
1.28,4.31935,0.5333334,5.499567,0.5333334
1.29,4.346371,0.5375,5.533971,0.5375
