Time,Force,Stroke,Stress,Strain
0,0.05960464,0,0.07589099,0
0.01,0.07629395,0.004166667,0.09714047,0.004166667
0.02,0.09536743,0.008333334,0.1214256,0.008333334
0.03,0.1096725,0.0125,0.1396394,0.0125
0.04,0.120004,0.01663333,0.1527939,0.01663333
0.05,0.1319249,0.02083333,0.167972,0.02083333
0.06,0.1446406,0.02496667,0.1841621,0.02496667
0.07,0.1573563,0.02916667,0.2003522,0.02916666
0.08,0.1653035,0.03333334,0.210471,0.03333334
0.09,0.1724561,0.03746667,0.2195779,0.03746667
0.1,0.1891454,0.04166667,0.2408274,0.04166667
0.11,0.2113978,0.04583333,0.26916,0.04583333
0.12,0.2280871,0.05,0.2904095,0.05
0.13,0.2384186,0.05416667,0.303564,0.05416667
0.14,0.2471606,0.05833333,0.3146946,0.05833333
0.15,0.2582868,0.0625,0.328861,0.0625
0.16,0.2749761,0.06666667,0.3501104,0.06666667
0.17,0.2916654,0.0708,0.3713599,0.0708
0.18,0.3059705,0.075,0.3895738,0.075
0.19,0.3178914,0.07916667,0.404752,0.07916667
0.2,0.3314018,0.0833,0.4219539,0.0833
0.21,0.3504753,0.0875,0.446239,0.0875
0.22,0.3727277,0.09163333,0.4745717,0.09163333
0.23,0.3957748,0.09583333,0.5039161,0.09583333
0.24,0.4212061,0.1,0.5362963,0.1
0.25,0.4522006,0.1041667,0.5757596,0.1041667
0.26,0.4800161,0.1083333,0.6111754,0.1083333
0.27,0.5030632,0.1125,0.6405199,0.1125
0.28,0.5229314,0.1166667,0.6658169,0.1166667
0.29,0.5443891,0.1208333,0.6931376,0.1208333
0.3,0.5674362,0.1249667,0.7224822,0.1249667
0.31,0.5920728,0.1291667,0.7538505,0.1291667
0.32,0.6135305,0.1333333,0.7811712,0.1333333
0.33,0.6341934,0.1374667,0.8074801,0.1374667
0.34,0.6548564,0.1416667,0.833789,0.1416667
0.35,0.6779035,0.1458333,0.8631335,0.1458333
0.36,0.7088979,0.1499667,0.9025968,0.1499667
0.37,0.7446607,0.1541667,0.9481314,0.1541667
0.38,0.7812182,0.1583333,0.9946779,0.1583333
0.39,0.8177757,0.1625,1.041224,0.1625
0.4,0.8511543,0.1666667,1.083723,0.1666667
0.41,0.8829435,0.1708333,1.124198,0.1708333
0.42,0.910759,0.175,1.159614,0.175
0.43,0.9393692,0.1791667,1.196042,0.1791667
0.44,0.9703636,0.1833333,1.235505,0.1833333
0.45,1.003742,0.1875,1.278004,0.1875
0.46,1.039505,0.1916333,1.323539,0.1916333
0.47,1.072884,0.1958333,1.366038,0.1958333
0.48,1.103083,0.2000333,1.404489,0.2000333
0.49,1.132488,0.2041667,1.441929,0.2041667
0.5,1.162688,0.2083333,1.48038,0.2083333
0.51,1.192093,0.2125,1.51782,0.2125
0.52,1.222293,0.2166667,1.556271,0.2166667
0.53,1.253287,0.2208333,1.595734,0.2208333
0.54,1.286666,0.225,1.638233,0.225
0.55,1.324018,0.2291667,1.685792,0.2291667
0.56,1.362165,0.2333667,1.734362,0.2333667
0.57,1.397928,0.2375,1.779897,0.2375
0.58,1.43369,0.2417,1.825431,0.2417
0.59,1.471043,0.2458667,1.87299,0.2458667
0.6,1.504421,0.2500333,1.915489,0.2500333
0.61,1.5378,0.2542,1.957988,0.2542
0.62,1.573563,0.2583333,2.003522,0.2583333
0.63,1.612504,0.2625,2.053104,0.2625
0.64,1.649062,0.2667,2.099651,0.2667
0.65,1.68403,0.2708333,2.144173,0.2708333
0.66,1.718998,0.275,2.188696,0.275
0.67,1.753171,0.2792,2.232207,0.2792
0.68,1.788139,0.2833667,2.27673,0.2833667
0.69,1.823902,0.2875333,2.322264,0.2875333
0.7,1.862049,0.2916667,2.370835,0.2916667
0.71,1.90417,0.2958667,2.424464,0.2958667
0.72,1.947085,0.3000333,2.479105,0.3000333
0.73,1.987616,0.3041667,2.530711,0.3041667
0.74,2.022584,0.3083667,2.575234,0.3083667
0.75,2.056758,0.3125333,2.618745,0.3125333
0.76,2.098083,0.3166667,2.671363,0.3166667
0.77,2.140204,0.3208667,2.724993,0.3208667
0.78,2.175172,0.325,2.769515,0.325
0.79,2.202988,0.3291667,2.804931,0.3291667
0.8,2.233982,0.3333667,2.844394,0.3333667
0.81,2.26895,0.3375,2.888917,0.3375
0.82,2.304713,0.3417,2.934452,0.3417
0.83,2.340476,0.3458667,2.979986,0.3458667
0.84,2.377828,0.35,3.027544,0.35
0.85,2.415975,0.3542,3.076115,0.3542
0.86,2.459685,0.3583333,3.131768,0.3583333
0.87,2.508163,0.3625333,3.193493,0.3625333
0.88,2.558231,0.3667,3.257241,0.3667
0.89,2.604326,0.3708333,3.31593,0.3708333
0.9,2.644062,0.3750333,3.366524,0.3750333
0.91,2.67903,0.3792,3.411047,0.3792
0.92,2.708435,0.3833667,3.448487,0.3833667
0.93,2.744198,0.3875333,3.494021,0.3875333
0.94,2.790292,0.3916667,3.55271,0.3916667
0.95,2.841949,0.3958667,3.618482,0.3958667
0.96,2.892017,0.4000333,3.682231,0.4000333
0.97,2.936522,0.4041667,3.738896,0.4041667
0.98,2.976259,0.4083667,3.78949,0.4083667
0.99,3.015995,0.4125333,3.840084,0.4125333
1,3.059705,0.4166667,3.895737,0.4166666
1.01,3.103415,0.4208667,3.951391,0.4208667
1.02,3.147125,0.425,4.007044,0.425
1.03,3.185272,0.4291667,4.055614,0.4291667
1.04,3.219445,0.4333667,4.099125,0.4333667
1.05,3.254414,0.4375,4.143648,0.4375
1.06,3.291766,0.4417,4.191206,0.4417
1.07,3.333886,0.4458667,4.244836,0.4458667
1.08,3.376007,0.45,4.298466,0.45
1.09,3.415744,0.4542,4.34906,0.4542
1.1,3.457864,0.4583333,4.402689,0.4583334
1.11,3.509521,0.4625,4.468462,0.4625
1.12,3.559589,0.4667,4.53221,0.4667
1.13,3.603299,0.4708333,4.587863,0.4708333
1.14,3.643036,0.4750333,4.638457,0.4750333
1.15,3.686746,0.4792,4.69411,0.4792
1.16,3.73284,0.4833333,4.7528,0.4833334
1.17,3.778934,0.4875,4.811489,0.4875
1.18,3.823439,0.4916667,4.868154,0.4916666
1.19,3.867149,0.4958667,4.923807,0.4958667
1.2,3.913244,0.5000333,4.982496,0.5000333
1.21,3.955364,0.5041667,5.036126,0.5041667
1.22,3.991127,0.5083666,5.081661,0.5083666
1.23,4.031658,0.5125,5.133266,0.5125
1.24,4.076163,0.5166667,5.189931,0.5166667
1.25,4.120668,0.5208667,5.246597,0.5208667
1.26,4.161994,0.525,5.299214,0.525
1.27,4.20014,0.5291667,5.347785,0.5291667
1.28,4.237493,0.5333667,5.395344,0.5333667
1.29,4.274845,0.5375,5.442902,0.5375
1.3,4.314581,0.5416667,5.493495,0.5416667
1.31,4.358292,0.5458667,5.549149,0.5458667
1.32,4.405975,0.5500333,5.609862,0.5500333
1.33,4.452864,0.5542,5.669563,0.5542
1.34,4.500548,0.5583333,5.730275,0.5583333
1.35,4.551411,0.5625333,5.795036,0.5625333
1.36,4.607836,0.5667,5.866879,0.5667
1.37,4.663467,0.5708333,5.937711,0.5708333
1.38,4.711946,0.5750334,5.999436,0.5750334
1.39,4.755656,0.5792,6.055089,0.5792
1.4,4.799366,0.5833333,6.110743,0.5833333
1.41,4.839897,0.5875334,6.162348,0.5875334
1.42,4.874865,0.5916667,6.206871,0.5916667
1.43,4.913012,0.5958334,6.255441,0.5958334
1.44,4.959106,0.6000333,6.31413,0.6000333
1.45,5.00679,0.6041667,6.374843,0.6041667
1.46,5.054474,0.6083667,6.435556,0.6083667
1.47,5.101363,0.6125333,6.495256,0.6125333
1.48,5.150636,0.6167,6.557993,0.6167
1.49,5.191167,0.6208667,6.6096,0.6208667
1.5,5.222162,0.625,6.649063,0.625
1.51,5.249977,0.6292,6.684478,0.6292
1.52,5.287329,0.6333666,6.732037,0.6333666
1.53,5.338987,0.6375,6.797809,0.6375
1.54,5.395412,0.6417,6.869652,0.6417
1.55,5.451838,0.6458667,6.941495,0.6458667
1.56,5.50429,0.65,7.00828,0.65
1.57,5.548795,0.6542,7.064945,0.6542
1.58,5.586147,0.6583334,7.112504,0.6583334
1.59,5.62191,0.6625,7.158038,0.6625
1.6,5.663236,0.6667,7.210656,0.6667
1.61,5.71092,0.6708333,7.271369,0.6708333
1.62,5.760193,0.6750333,7.334105,0.6750333
1.63,5.807082,0.6792,7.393806,0.6792
1.64,5.846818,0.6833333,7.4444,0.6833333
1.65,5.886555,0.6875333,7.494994,0.6875333
1.66,5.932649,0.6916667,7.553683,0.6916667
1.67,5.985101,0.6958667,7.620467,0.6958667
1.68,6.033579,0.7000334,7.682191,0.7000334
