Time,Force,Stroke,Stress,Strain
0,0.05086263,0,0.06476031,0
0.01,0.06516775,0.004133333,0.08297415,0.004133333
0.02,0.07549921,0.008333334,0.09612858,0.008333334
0.03,0.08424123,0.01246667,0.1072593,0.01246667
0.04,0.09218851,0.01666667,0.1173781,0.01666667
0.05,0.09298325,0.02083333,0.1183899,0.02083333
0.06,0.0945727,0.02496667,0.1204137,0.02496667
0.07,0.1049042,0.02916667,0.1335681,0.02916666
0.08,0.1160304,0.03333334,0.1477344,0.03333334
0.09,0.120004,0.03746667,0.1527939,0.03746667
0.1,0.1176198,0.04166667,0.1497582,0.04166667
0.11,0.1192093,0.0458,0.151782,0.0458
0.12,0.1215935,0.04996667,0.1548176,0.04996667
0.13,0.1239777,0.05416667,0.1578533,0.05416667
0.14,0.1279513,0.0583,0.1629127,0.0583
0.15,0.1351039,0.0625,0.1720196,0.0625
0.16,0.1422564,0.06666667,0.1811265,0.06666667
0.17,0.1486142,0.0708,0.1892215,0.0708
0.18,0.1613299,0.075,0.2054116,0.075
0.19,0.1780192,0.07913333,0.2266611,0.07913333
0.2,0.1955032,0.08333334,0.2489224,0.08333334
0.21,0.2177556,0.0875,0.2772551,0.0875
0.22,0.243187,0.09163333,0.3096352,0.09163333
0.23,0.2678235,0.09583333,0.3410035,0.09583333
0.24,0.2845128,0.1,0.362253,0.1
0.25,0.2940496,0.1041333,0.3743955,0.1041333
0.26,0.304381,0.1083333,0.38755,0.1083333
0.27,0.3147125,0.1124667,0.4007044,0.1124667
0.28,0.325044,0.1166333,0.4138589,0.1166333
0.29,0.3377596,0.1208333,0.4300489,0.1208333
0.3,0.3584226,0.1249667,0.4563578,0.1249667
0.31,0.3814697,0.1291667,0.4857023,0.1291667
0.32,0.3973643,0.1333333,0.5059399,0.1333333
0.33,0.4084905,0.1374667,0.5201063,0.1374667
0.34,0.4212061,0.1416667,0.5362963,0.1416667
0.35,0.4394849,0.1458,0.5595696,0.1458
0.36,0.45379,0.1499667,0.5777834,0.1499667
0.37,0.4633268,0.1541667,0.5899259,0.1541667
0.38,0.4736582,0.1583,0.6030804,0.1583
0.39,0.4855792,0.1625,0.6182586,0.1625
0.4,0.500679,0.1666667,0.6374843,0.1666667
0.41,0.5197525,0.1708,0.6617694,0.1708
0.42,0.5427997,0.175,0.6911139,0.175
0.43,0.565052,0.1791333,0.7194466,0.1791333
0.44,0.5865097,0.1833,0.7467673,0.1833
0.45,0.6095569,0.1875,0.7761118,0.1875
0.46,0.6357829,0.1916333,0.8095039,0.1916333
0.47,0.6620089,0.1958333,0.8428959,0.1958333
0.48,0.6842613,0.2,0.8712286,0.2
0.49,0.7049243,0.2041333,0.8975375,0.2041333
0.5,0.7247925,0.2083333,0.9228344,0.2083333
0.51,0.7454554,0.2124667,0.9491434,0.2124667
0.52,0.7661183,0.2166333,0.9754521,0.2166333
0.53,0.7867813,0.2208333,1.001761,0.2208333
0.54,0.8138021,0.2249667,1.036165,0.2249667
0.55,0.8432071,0.2291667,1.073605,0.2291667
0.56,0.8710225,0.2333333,1.10902,0.2333333
0.57,0.8956591,0.2374667,1.140389,0.2374667
0.58,0.9171168,0.2416667,1.167709,0.2416667
0.59,0.9433429,0.2458333,1.201101,0.2458333
0.6,0.96639,0.25,1.230446,0.25
0.61,0.9878476,0.2541667,1.257767,0.2541667
0.62,1.0101,0.2583,1.286099,0.2583
0.63,1.036326,0.2624667,1.319491,0.2624667
0.64,1.06732,0.2666333,1.358955,0.2666333
0.65,1.09911,0.2708,1.39943,0.2708
0.66,1.132488,0.275,1.441929,0.275
0.67,1.165867,0.2791333,1.484428,0.2791333
0.68,1.200835,0.2833333,1.52895,0.2833333
0.69,1.23024,0.2875,1.56639,0.2875
0.7,1.255671,0.2916333,1.59877,0.2916333
0.71,1.286666,0.2958,1.638233,0.2958
0.72,1.322428,0.3,1.683768,0.3
0.73,1.357396,0.3041333,1.728291,0.3041333
0.74,1.386801,0.3083333,1.76573,0.3083333
0.75,1.418591,0.3124667,1.806206,0.3124667
0.76,1.45038,0.3166667,1.846681,0.3166667
0.77,1.4774,0.3208333,1.881085,0.3208333
0.78,1.502037,0.3249667,1.912453,0.3249667
0.79,1.529853,0.3291667,1.947869,0.3291667
0.8,1.560052,0.3333333,1.98632,0.3333333
0.81,1.589457,0.3374667,2.02376,0.3374667
0.82,1.622836,0.3416667,2.066259,0.3416667
0.83,1.660983,0.3458,2.114829,0.3458
0.84,1.704693,0.3499667,2.170482,0.3499667
0.85,1.744429,0.3541667,2.221076,0.3541667
0.86,1.782576,0.3583,2.269646,0.3583
0.87,1.819929,0.3625,2.317205,0.3625
0.88,1.855691,0.3666667,2.36274,0.3666667
0.89,1.885096,0.3708,2.400179,0.3708
0.9,1.908143,0.375,2.429523,0.375
0.91,1.93278,0.3791333,2.460892,0.3791333
0.92,1.966159,0.3833,2.503391,0.3833
0.93,2.007484,0.3875,2.556009,0.3875
0.94,2.049605,0.3916333,2.609638,0.3916333
0.95,2.086957,0.3958333,2.657196,0.3958333
0.96,2.121131,0.4,2.700707,0.4
0.97,2.156099,0.4041333,2.74523,0.4041334
0.98,2.187888,0.4083333,2.785705,0.4083334
0.99,2.215703,0.4124667,2.821121,0.4124666
1,2.245903,0.4166667,2.859572,0.4166666
1.01,2.280076,0.4208333,2.903083,0.4208333
1.02,2.317429,0.4249667,2.950642,0.4249667
1.03,2.357165,0.4291667,3.001236,0.4291667
1.04,2.394517,0.4333333,3.048794,0.4333334
1.05,2.428691,0.4374667,3.092305,0.4374667
1.06,2.467632,0.4416667,3.141887,0.4416666
1.07,2.508163,0.4458,3.193493,0.4458
1.08,2.5479,0.4499667,3.244087,0.4499667
1.09,2.583663,0.4541667,3.289622,0.4541667
1.1,2.622604,0.4583,3.339204,0.4583
1.11,2.664725,0.4625,3.392833,0.4625
1.12,2.706846,0.4666667,3.446463,0.4666666
1.13,2.746582,0.4708,3.497057,0.4708
1.14,2.78155,0.475,3.541579,0.475
1.15,2.810955,0.4791333,3.579019,0.4791333
1.16,2.838771,0.4833,3.614435,0.4833
1.17,2.873739,0.4875,3.658957,0.4875
1.18,2.915859,0.4916333,3.712587,0.4916333
1.19,2.961159,0.4958333,3.770264,0.4958333
1.2,2.997716,0.5,3.816811,0.5
1.21,3.031095,0.5041333,3.85931,0.5041333
1.22,3.066858,0.5083333,3.904844,0.5083333
1.23,3.108184,0.5124667,3.957462,0.5124667
1.24,3.151894,0.5166333,4.013115,0.5166333
1.25,3.187656,0.5208333,4.05865,0.5208333
1.26,3.217061,0.5249667,4.096089,0.5249667
1.27,3.25044,0.5291667,4.138588,0.5291667
1.28,3.29415,0.5333334,4.194242,0.5333334
1.29,3.342628,0.5375,4.255967,0.5375
1.3,3.391902,0.5416667,4.318703,0.5416667
1.31,3.434817,0.5458,4.373345,0.5458
1.32,3.472169,0.5499667,4.420903,0.5499667
1.33,3.501574,0.5541667,4.458343,0.5541667
1.34,3.530185,0.5583,4.494771,0.5583
1.35,3.561179,0.5625,4.534234,0.5625
1.36,3.599326,0.5666667,4.582804,0.5666667
1.37,3.64542,0.5708,4.641493,0.5708
1.38,3.693104,0.575,4.702206,0.575
1.39,3.733635,0.5791333,4.753811,0.5791333
1.4,3.773371,0.5833,4.804406,0.5833
1.41,3.814697,0.5875,4.857023,0.5875
1.42,3.858407,0.5916333,4.912676,0.5916333
1.43,3.902117,0.5958334,4.96833,0.5958334
1.44,3.941854,0.6,5.018924,0.6
1.45,3.976027,0.6041334,5.062435,0.6041334
1.46,4.010995,0.6083333,5.106958,0.6083333
1.47,4.050732,0.6124667,5.157552,0.6124667
1.48,4.090468,0.6166667,5.208145,0.6166667
1.49,4.130205,0.6208333,5.25874,0.6208333
1.5,4.169941,0.6249667,5.309334,0.6249667
1.51,4.209677,0.6291667,5.359927,0.6291667
1.52,4.247824,0.6333333,5.408498,0.6333333
1.53,4.285971,0.6374667,5.457068,0.6374667
1.54,4.327297,0.6416667,5.509686,0.6416667
1.55,4.368623,0.6458333,5.562304,0.6458333
1.56,4.405975,0.65,5.609862,0.65
1.57,4.440149,0.6541667,5.653373,0.6541667
1.58,4.481474,0.6583,5.70599,0.6583
1.59,4.531542,0.6625,5.769739,0.6625
1.6,4.582405,0.6666667,5.834499,0.6666667
1.61,4.630089,0.6708,5.895212,0.6708
1.62,4.674593,0.675,5.951877,0.675
1.63,4.715919,0.6791334,6.004495,0.6791334
1.64,4.753272,0.6833,6.052053,0.6833
1.65,4.785061,0.6875,6.092528,0.6875
1.66,4.820029,0.6916333,6.137051,0.6916333
1.67,4.86056,0.6958333,6.188657,0.6958333
