Time,Force,Stroke,Stress,Strain
0,0.05324681,0,0.06779595,0
0.01,0.05880992,0.004166667,0.07487911,0.004166667
0.02,0.06516775,0.008333334,0.08297415,0.008333334
0.03,0.07152557,0.0125,0.09106918,0.0125
0.04,0.07549921,0.01666667,0.09612858,0.01666667
0.05,0.0778834,0.02083333,0.09916423,0.02083333
0.06,0.08424123,0.025,0.1072593,0.025
0.07,0.09059906,0.02916667,0.1153543,0.02916666
0.08,0.09536743,0.0333,0.1214256,0.0333
0.09,0.1009305,0.0375,0.1285087,0.0375
0.1,0.111262,0.04166667,0.1416632,0.04166667
0.11,0.1255671,0.0458,0.159877,0.0458
0.12,0.1319249,0.05,0.167972,0.05
0.13,0.1255671,0.05416667,0.159877,0.05416667
0.14,0.1176198,0.0583,0.1497582,0.0583
0.15,0.1176198,0.0625,0.1497582,0.0625
0.16,0.1255671,0.06663334,0.159877,0.06663334
0.17,0.1319249,0.0708,0.167972,0.0708
0.18,0.1430511,0.075,0.1821384,0.075
0.19,0.1573563,0.07916667,0.2003522,0.07916667
0.2,0.1637141,0.08333334,0.2084472,0.08333334
0.21,0.1637141,0.0875,0.2084472,0.0875
0.22,0.1660983,0.09166667,0.2114829,0.09166667
0.23,0.1804034,0.09583333,0.2296967,0.09583333
0.24,0.1994769,0.09996667,0.2539819,0.09996666
0.25,0.2145767,0.1041667,0.2732075,0.1041667
0.26,0.2217293,0.1083333,0.2823145,0.1083333
0.27,0.2264977,0.1124667,0.2883857,0.1124667
0.28,0.2344449,0.1166667,0.2985046,0.1166667
0.29,0.2447764,0.1208333,0.311659,0.1208333
0.3,0.2543131,0.1249667,0.3238015,0.1249667
0.31,0.2646446,0.1291667,0.336956,0.1291667
0.32,0.278155,0.1333333,0.3541579,0.1333333
0.33,0.2908707,0.1375,0.370348,0.1375
0.34,0.3035863,0.1416667,0.3865381,0.1416667
0.35,0.3178914,0.1458,0.404752,0.1458
0.36,0.3274282,0.1499667,0.4168945,0.1499667
0.37,0.3377596,0.1541667,0.4300489,0.1541667
0.38,0.3472964,0.1583,0.4421915,0.1583
0.39,0.3480911,0.1625,0.4432034,0.1625
0.4,0.3457069,0.1666333,0.4401677,0.1666333
0.41,0.3480911,0.1708,0.4432034,0.1708
0.42,0.3600121,0.175,0.4583816,0.175
0.43,0.3751119,0.1791333,0.4776073,0.1791333
0.44,0.3902117,0.1833,0.496833,0.1833
0.45,0.4045168,0.1874667,0.5150468,0.1874667
0.46,0.4140536,0.1916333,0.5271894,0.1916333
0.47,0.4251798,0.1958333,0.5413557,0.1958333
0.48,0.4442533,0.1999667,0.5656409,0.1999667
0.49,0.4665057,0.2041333,0.5939735,0.2041333
0.5,0.4863739,0.2083333,0.6192704,0.2083333
0.51,0.5062421,0.2124667,0.6445674,0.2124667
0.52,0.5253156,0.2166667,0.6688526,0.2166667
0.53,0.5427997,0.2208333,0.6911139,0.2208333
0.54,0.5547206,0.2249667,0.7062922,0.2249667
0.55,0.5634626,0.2291667,0.7174228,0.2291667
0.56,0.5753835,0.2333,0.732601,0.2333
0.57,0.5920728,0.2374667,0.7538505,0.2374667
0.58,0.6111463,0.2416667,0.7781356,0.2416667
0.59,0.6254514,0.2458,0.7963494,0.2458
0.6,0.6302198,0.2499667,0.8024207,0.2499667
0.61,0.6357829,0.2541667,0.8095039,0.2541667
0.62,0.6469091,0.2583,0.8236701,0.2583
0.63,0.6572406,0.2625,0.8368247,0.2625
0.64,0.6635984,0.2666333,0.8449196,0.2666333
0.65,0.6739299,0.2708,0.8580741,0.2708
0.66,0.6906192,0.275,0.8793236,0.275
0.67,0.7120768,0.2791333,0.9066443,0.2791333
0.68,0.7367134,0.2833,0.9380126,0.2833
0.69,0.7597606,0.2874667,0.9673572,0.2874667
0.7,0.778834,0.2916333,0.9916423,0.2916333
0.71,0.7947286,0.2958333,1.01188,0.2958333
0.72,0.808239,0.2999667,1.029082,0.2999667
0.73,0.8225441,0.3041667,1.047296,0.3041667
0.74,0.8376439,0.3083333,1.066521,0.3083333
0.75,0.8559227,0.3124667,1.089795,0.3124667
0.76,0.8773804,0.3166667,1.117115,0.3166667
0.77,0.8980433,0.3208333,1.143424,0.3208333
0.78,0.9163221,0.3249667,1.166697,0.3249667
0.79,0.9306272,0.3291667,1.184911,0.3291667
0.8,0.9417534,0.3333,1.199078,0.3333
0.81,0.9536743,0.3374667,1.214256,0.3374667
0.82,0.9711583,0.3416667,1.236517,0.3416667
0.83,0.9997686,0.3458333,1.272945,0.3458333
0.84,1.0252,0.35,1.305325,0.35
0.85,1.045863,0.3541333,1.331634,0.3541333
0.86,1.063347,0.3583,1.353895,0.3583
0.87,1.079241,0.3625,1.374133,0.3625
0.88,1.089573,0.3666333,1.387287,0.3666333
0.89,1.098315,0.3708,1.398418,0.3708
0.9,1.113415,0.375,1.417644,0.375
0.91,1.132488,0.3791333,1.441929,0.3791333
0.92,1.149178,0.3833,1.463178,0.3833
0.93,1.165072,0.3875,1.483416,0.3875
0.94,1.18653,0.3916333,1.510737,0.3916333
0.95,1.211166,0.3958333,1.542105,0.3958333
0.96,1.235008,0.4,1.572461,0.4
0.97,1.261234,0.4041333,1.605853,0.4041334
0.98,1.288255,0.4083333,1.640257,0.4083334
0.99,1.316071,0.4124667,1.675673,0.4124666
1,1.343091,0.4166667,1.710077,0.4166666
1.01,1.363754,0.4208,1.736386,0.4208
1.02,1.37647,0.4249667,1.752576,0.4249667
1.03,1.387596,0.4291667,1.766742,0.4291667
1.04,1.407464,0.4333,1.792039,0.4333
1.05,1.432896,0.4374667,1.824419,0.4374667
1.06,1.458327,0.4416667,1.856799,0.4416666
1.07,1.47899,0.4458,1.883108,0.4458
