Time,Force,Stroke,Stress,Strain
0,0.0611941,0,0.07791475,0
0.01,0.07549921,0.004166667,0.09612858,0.004166667
0.02,0.08185705,0.0083,0.1042236,0.0083
0.03,0.08185705,0.0125,0.1042236,0.0125
0.04,0.08424123,0.01663333,0.1072593,0.01663333
0.05,0.0945727,0.0208,0.1204137,0.0208
0.06,0.1088778,0.025,0.1386275,0.025
0.07,0.1239777,0.02913333,0.1578533,0.02913333
0.08,0.1327197,0.0333,0.1689839,0.0333
0.09,0.1382828,0.03746667,0.1760671,0.03746667
0.1,0.1430511,0.04163333,0.1821384,0.04163333
0.11,0.1533826,0.0458,0.1952928,0.0458
0.12,0.1653035,0.04996667,0.210471,0.04996667
0.13,0.1788139,0.05413333,0.227673,0.05413333
0.14,0.1955032,0.05833333,0.2489224,0.05833333
0.15,0.2098083,0.06246667,0.2671363,0.06246667
0.16,0.2161662,0.06666667,0.2752313,0.06666667
0.17,0.2177556,0.0708,0.2772551,0.0708
0.18,0.2249082,0.07496667,0.286362,0.07496667
0.19,0.243187,0.07913333,0.3096352,0.07913333
0.2,0.2646446,0.0833,0.336956,0.0833
0.21,0.2829234,0.08746666,0.3602292,0.08746666
0.22,0.295639,0.09166667,0.3764193,0.09166667
0.23,0.3035863,0.0958,0.3865381,0.0958
0.24,0.3099442,0.1,0.3946331,0.1
0.25,0.3178914,0.1041667,0.404752,0.1041667
0.26,0.3329913,0.1083,0.4239776,0.1083
0.27,0.3536542,0.1125,0.4502865,0.1125
0.28,0.3767014,0.1166333,0.479631,0.1166333
0.29,0.3941854,0.1208,0.5018924,0.1208
0.3,0.4084905,0.125,0.5201063,0.125
0.31,0.4235903,0.1291333,0.539332,0.1291333
0.32,0.4402796,0.1333,0.5605814,0.1333
0.33,0.4561742,0.1374667,0.5808191,0.1374667
0.34,0.4688899,0.1416333,0.5970091,0.1416333
0.35,0.483195,0.1458,0.6152229,0.1458
0.36,0.5022685,0.1499667,0.6395081,0.1499667
0.37,0.5276998,0.1541333,0.6718882,0.1541333
0.38,0.55631,0.1583333,0.7083158,0.1583333
0.39,0.5761783,0.1624667,0.7336129,0.1624667
0.4,0.5928676,0.1666667,0.7548624,0.1666667
0.41,0.6151199,0.1708333,0.783195,0.1708333
0.42,0.6381671,0.1749667,0.8125395,0.1749667
0.43,0.65883,0.1791667,0.8388484,0.1791667
0.44,0.6786982,0.1833,0.8641454,0.1833
0.45,0.7009506,0.1874667,0.892478,0.1874667
0.46,0.7216136,0.1916667,0.9187869,0.1916667
0.47,0.7390976,0.1958,0.9410483,0.1958
0.48,0.7597606,0.1999667,0.9673572,0.1999667
0.49,0.7843971,0.2041333,0.9987254,0.2041333
0.5,0.8138021,0.2083,1.036165,0.2083
0.51,0.8440018,0.2125,1.074616,0.2125
0.52,0.8749962,0.2166333,1.11408,0.2166333
0.53,0.9020169,0.2208,1.148484,0.2208
0.54,0.9290377,0.225,1.182888,0.225
0.55,0.9584427,0.2291333,1.220327,0.2291333
0.56,0.9894371,0.2333333,1.25979,0.2333333
0.57,1.019637,0.2375,1.298242,0.2375
0.58,1.045863,0.2416333,1.331634,0.2416333
