Time,Force,Stroke,Stress,Strain
0,0.05245209,0,0.06678407,0
0.01,0.055631,0.004166667,0.07083159,0.004166667
0.02,0.05483627,0.0083,0.06981971,0.0083
0.03,0.05722046,0.01246667,0.07285535,0.01246667
0.04,0.06993612,0.01663333,0.08904543,0.01663333
0.05,0.08821487,0.0208,0.1123187,0.0208
0.06,0.1033147,0.025,0.1315444,0.025
0.07,0.111262,0.02913333,0.1416632,0.02913333
0.08,0.1152356,0.0333,0.1467226,0.0333
0.09,0.120004,0.03746667,0.1527939,0.03746667
0.1,0.1279513,0.04163333,0.1629127,0.04163333
0.11,0.1366933,0.04583333,0.1740433,0.04583333
0.12,0.1470248,0.04996667,0.1871978,0.04996667
0.13,0.1660983,0.05413333,0.2114829,0.05413333
0.14,0.1947085,0.05833333,0.2479106,0.05833333
0.15,0.2241135,0.06246667,0.2853501,0.06246667
0.16,0.2495448,0.06663334,0.3177303,0.06663334
0.17,0.2702077,0.07083333,0.3440392,0.07083333
0.18,0.2853076,0.07496667,0.3632649,0.07496667
0.19,0.2996127,0.07913333,0.3814787,0.07913333
0.2,0.316302,0.0833,0.4027282,0.0833
0.21,0.3345807,0.08746666,0.4260014,0.08746666
0.22,0.3560384,0.09166667,0.4533222,0.09166667
0.23,0.3774961,0.0958,0.4806429,0.0958
0.24,0.4005432,0.09996667,0.5099875,0.09996666
0.25,0.4235903,0.1041333,0.539332,0.1041333
0.26,0.4458427,0.1083,0.5676646,0.1083
0.27,0.4633268,0.1124667,0.5899259,0.1124667
0.28,0.4816055,0.1166333,0.6131992,0.1166333
0.29,0.5046527,0.1208,0.6425437,0.1208
0.3,0.530084,0.125,0.6749238,0.125
0.31,0.5491574,0.1291333,0.699209,0.1291333
0.32,0.565052,0.1333,0.7194466,0.1333
0.33,0.5841255,0.1375,0.7437317,0.1375
0.34,0.6071727,0.1416333,0.7730762,0.1416333
0.35,0.6262462,0.1458,0.7973614,0.1458
0.36,0.6453196,0.1499667,0.8216465,0.1499667
0.37,0.6715457,0.1541333,0.8550385,0.1541333
0.38,0.705719,0.1583333,0.8985493,0.1583333
0.39,0.7390976,0.1624667,0.9410483,0.1624667
0.4,0.7637342,0.1666333,0.9724165,0.1666333
0.41,0.7804235,0.1708333,0.993666,0.1708333
0.42,0.8010864,0.1749667,1.019975,0.1749667
0.43,0.8281072,0.1791333,1.054379,0.1791333
0.44,0.8622805,0.1833,1.09789,0.1833
0.45,0.8996328,0.1874667,1.145448,0.1874667
0.46,0.936985,0.1916667,1.193006,0.1916667
0.47,0.9671847,0.1958,1.231458,0.1958
0.48,0.9878476,0.1999667,1.257767,0.1999667
0.49,1.002153,0.2041667,1.275981,0.2041667
0.5,1.022816,0.2083,1.302289,0.2083
0.51,1.058578,0.2124667,1.347824,0.2124667
0.52,1.09911,0.2166333,1.39943,0.2166333
0.53,1.132488,0.2208,1.441929,0.2208
0.54,1.157125,0.225,1.473297,0.225
0.55,1.178583,0.2291,1.500618,0.2291
0.56,1.205603,0.2333,1.535022,0.2333
0.57,1.240571,0.2375,1.579545,0.2375
0.58,1.277924,0.2416333,1.627103,0.2416333
0.59,1.312097,0.2458,1.670614,0.2458
0.6,1.340707,0.2499667,1.707041,0.2499667
0.61,1.367728,0.2541333,1.741445,0.2541333
0.62,1.399517,0.2583333,1.78192,0.2583333
0.63,1.437664,0.2624667,1.830491,0.2624667
0.64,1.4774,0.2666667,1.881085,0.2666667
0.65,1.510779,0.2708333,1.923584,0.2708333
0.66,1.539389,0.2749667,1.960011,0.2749667
0.67,1.567205,0.2791667,1.995427,0.2791667
0.68,1.600583,0.2833,2.037926,0.2833
0.69,1.636346,0.2874667,2.083461,0.2874667
0.7,1.671314,0.2916667,2.127983,0.2916667
0.71,1.708666,0.2958,2.175542,0.2958
0.72,1.750787,0.2999667,2.229171,0.2999667
0.73,1.790524,0.3041667,2.279765,0.3041667
0.74,1.819929,0.3083,2.317205,0.3083
0.75,1.84536,0.3124667,2.349585,0.3124667
0.76,1.874765,0.3166333,2.387025,0.3166333
0.77,1.91768,0.3208,2.441666,0.3208
0.78,1.963774,0.325,2.500355,0.325
0.79,2.007484,0.3291333,2.556009,0.3291333
0.8,2.044042,0.3333333,2.602555,0.3333333
0.81,2.085368,0.3375,2.655173,0.3375
0.82,2.133052,0.3416333,2.715886,0.3416333
0.83,2.175967,0.3458333,2.770527,0.3458333
0.84,2.213319,0.3499667,2.818085,0.3499667
0.85,2.244313,0.3541333,2.857548,0.3541333
0.86,2.275308,0.3583,2.897012,0.3583
0.87,2.305508,0.3624667,2.935463,0.3624667
0.88,2.340476,0.3666333,2.979986,0.3666333
0.89,2.377828,0.3708333,3.027544,0.3708333
0.9,2.415975,0.3749667,3.076115,0.3749667
0.91,2.450943,0.3791333,3.120637,0.3791333
0.92,2.478759,0.3833,3.156053,0.3833
0.93,2.509753,0.3874667,3.195517,0.3874667
0.94,2.547105,0.3916667,3.243075,0.3916667
0.95,2.589226,0.3958,3.296705,0.3958
0.96,2.631346,0.3999667,3.350334,0.3999667
0.97,2.676646,0.4041667,3.408011,0.4041667
0.98,2.72274,0.4083,3.4667,0.4083
0.99,2.768834,0.4124667,3.525389,0.4124666
1,2.809366,0.4166333,3.576995,0.4166333
1.01,2.845128,0.4208,3.62253,0.4208
1.02,2.88407,0.425,3.672112,0.425
1.03,2.923806,0.4291333,3.722706,0.4291333
1.04,2.964338,0.4333,3.774312,0.4333
1.05,3.005664,0.4375,3.82693,0.4375
1.06,3.047784,0.4416333,3.880559,0.4416333
1.07,3.093084,0.4458,3.938236,0.4458
1.08,3.136794,0.4499667,3.99389,0.4499667
1.09,3.17653,0.4541333,4.044484,0.4541333
1.1,3.210704,0.4583333,4.087995,0.4583334
1.11,3.241698,0.4624667,4.127458,0.4624667
1.12,3.269513,0.4666333,4.162874,0.4666333
1.13,3.302892,0.4708333,4.205372,0.4708333
1.14,3.345807,0.4749667,4.260014,0.4749667
1.15,3.390312,0.4791333,4.316679,0.4791333
1.16,3.427665,0.4833,4.364238,0.4833
1.17,3.461043,0.4874667,4.406737,0.4874667
1.18,3.497601,0.4916667,4.453283,0.4916666
1.19,3.537337,0.4958,4.503877,0.4958
1.2,3.577073,0.4999667,4.554471,0.4999667
1.21,3.614426,0.5041667,4.602029,0.5041667
1.22,3.650188,0.5083,4.647564,0.5083
1.23,3.68913,0.5124667,4.697146,0.5124667
1.24,3.729661,0.5166333,4.748752,0.5166333
1.25,3.772577,0.5208,4.803393,0.5208
1.26,3.813108,0.525,4.855,0.525
1.27,3.860791,0.5291333,4.915712,0.5291333
1.28,3.911654,0.5333,4.980473,0.5333
1.29,3.959338,0.5375,5.041185,0.5375
1.3,3.995101,0.5416334,5.08672,0.5416334
1.31,4.022121,0.5458,5.121124,0.5458
1.32,4.047553,0.5499667,5.153504,0.5499667
1.33,4.082521,0.5541334,5.198027,0.5541334
1.34,4.123847,0.5583333,5.250644,0.5583333
1.35,4.166762,0.5624667,5.305286,0.5624667
1.36,4.209677,0.5666333,5.359927,0.5666333
1.37,4.255772,0.5708333,5.418617,0.5708333
1.38,4.301866,0.5749667,5.477306,0.5749667
1.39,4.346371,0.5791333,5.533971,0.5791333
1.4,4.383723,0.5833,5.581529,0.5833
1.41,4.418691,0.5874667,5.626052,0.5874667
1.42,4.45048,0.5916667,5.666527,0.5916667
1.43,4.482269,0.5958,5.707002,0.5958
1.44,4.515648,0.5999666,5.749501,0.5999666
1.45,4.553,0.6041334,5.79706,0.6041334
1.46,4.597505,0.6083,5.853725,0.6083
1.47,4.645189,0.6124667,5.914438,0.6124667
1.48,4.686514,0.6166334,5.967055,0.6166334
1.49,4.720688,0.6208,6.010566,0.6208
1.5,4.755656,0.625,6.055089,0.625
1.51,4.797777,0.6291333,6.108719,0.6291333
1.52,4.84546,0.6333,6.169432,0.6333
1.53,4.889965,0.6375,6.226097,0.6375
1.54,4.928907,0.6416333,6.275679,0.6416333
1.55,4.962286,0.6458,6.318178,0.6458
1.56,4.995664,0.6499667,6.360677,0.6499667
1.57,5.031427,0.6541333,6.406211,0.6541333
1.58,5.06719,0.6583334,6.451746,0.6583334
1.59,5.104542,0.6624333,6.499304,0.6624333
1.6,5.144278,0.6666334,6.549898,0.6666334
1.61,5.184015,0.6708333,6.600492,0.6708333
1.62,5.226135,0.6749667,6.654122,0.6749667
1.63,5.27223,0.6791334,6.712811,0.6791334
1.64,5.319913,0.6833,6.773524,0.6833
1.65,5.364418,0.6874667,6.830189,0.6874667
1.66,5.404154,0.6916667,6.880783,0.6916667
1.67,5.442301,0.6958,6.929353,0.6958
1.68,5.482038,0.6999667,6.979948,0.6999667
