Time,Force,Stroke,Stress,Strain
0,0.05324681,0,0.06779595,0
0.01,0.0611941,0.0042,0.07791475,0.0042
0.02,0.06357829,0.008366667,0.08095039,0.008366667
0.03,0.0611941,0.0125,0.07791475,0.0125
0.04,0.05960464,0.0167,0.07589099,0.0167
0.05,0.0611941,0.02083333,0.07791475,0.02083333
0.06,0.06278356,0.025,0.07993851,0.025
0.07,0.06357829,0.0292,0.08095039,0.0292
0.08,0.06755193,0.03333334,0.08600979,0.03333334
0.09,0.0723203,0.0375,0.09208107,0.0375
0.1,0.07947286,0.0417,0.101188,0.0417
0.11,0.08821487,0.04583333,0.1123187,0.04583333
0.12,0.09854635,0.05,0.1254731,0.05
0.13,0.10252,0.05416667,0.1305325,0.05416667
0.14,0.10252,0.05833333,0.1305325,0.05833333
0.15,0.1033147,0.06253333,0.1315444,0.06253333
0.16,0.1056989,0.06666667,0.13458,0.06666667
0.17,0.1096725,0.07083333,0.1396394,0.07083333
0.18,0.1160304,0.07503334,0.1477344,0.07503334
0.19,0.128746,0.07916667,0.1639245,0.07916667
0.2,0.1390775,0.08336667,0.177079,0.08336667
0.21,0.1430511,0.08753333,0.1821384,0.08753333
0.22,0.1486142,0.09166667,0.1892215,0.09166667
0.23,0.1533826,0.09586667,0.1952928,0.09586667
0.24,0.1549721,0.1,0.1973166,0.1
0.25,0.1589457,0.1042,0.202376,0.1042
0.26,0.1684825,0.1083667,0.2145185,0.1083667
0.27,0.1804034,0.1125,0.2296967,0.1125
0.28,0.1867612,0.1167,0.2377918,0.1167
0.29,0.1883507,0.1208333,0.2398155,0.1208333
0.3,0.1907349,0.125,0.2428512,0.125
0.31,0.2018611,0.1292,0.2570175,0.1292
0.32,0.2201398,0.1333333,0.2802907,0.1333333
0.33,0.2384186,0.1375,0.303564,0.1375
0.34,0.251929,0.1417,0.3207659,0.1417
0.35,0.2646446,0.1458333,0.336956,0.1458333
0.36,0.2765656,0.1500333,0.3521342,0.1500333
0.37,0.286897,0.1542,0.3652886,0.1542
0.38,0.2996127,0.1583333,0.3814787,0.1583333
0.39,0.316302,0.1625333,0.4027282,0.1625333
0.4,0.3306071,0.1666667,0.420942,0.1666667
0.41,0.3417333,0.1708667,0.4351083,0.1708667
0.42,0.3560384,0.1750333,0.4533222,0.1750333
0.43,0.3743172,0.1791667,0.4765954,0.1791667
0.44,0.389417,0.1833667,0.4958211,0.1833667
0.45,0.3997485,0.1875,0.5089756,0.1875
0.46,0.4172325,0.1916667,0.5312369,0.1916667
0.47,0.4402796,0.1958667,0.5605814,0.1958667
0.48,0.4561742,0.2,0.5808191,0.2
0.49,0.4609426,0.2042,0.5868903,0.2042
0.5,0.462532,0.2083667,0.5889141,0.2083667
0.51,0.471274,0.2125333,0.6000447,0.2125333
0.52,0.4855792,0.2167,0.6182586,0.2167
0.53,0.5022685,0.2208333,0.6395081,0.2208333
0.54,0.521342,0.2250333,0.6637932,0.2250333
0.55,0.5380313,0.2292,0.6850427,0.2292
0.56,0.5491574,0.2333333,0.699209,0.2333333
0.57,0.55631,0.2375333,0.7083158,0.2375333
0.58,0.565052,0.2417,0.7194466,0.2417
0.59,0.5817413,0.2458333,0.7406961,0.2458333
0.6,0.603199,0.2500333,0.7680168,0.2500333
0.61,0.6214778,0.2541667,0.79129,0.2541667
0.62,0.6326039,0.2583333,0.8054563,0.2583333
0.63,0.6445249,0.2625333,0.8206345,0.2625333
0.64,0.6635984,0.2666667,0.8449196,0.2666667
0.65,0.688235,0.2708333,0.876288,0.2708333
0.66,0.7088979,0.2750333,0.9025968,0.2750333
0.67,0.7287661,0.2791667,0.9278938,0.2791667
0.68,0.7518132,0.2833667,0.9572383,0.2833667
0.69,0.7740657,0.2875,0.985571,0.2875
0.7,0.7851918,0.2916667,0.9997373,0.2916667
0.71,0.7931392,0.2958667,1.009856,0.2958667
0.72,0.8058548,0.3,1.026046,0.3
0.73,0.8281072,0.3042,1.054379,0.3042
0.74,0.8543332,0.3083667,1.087771,0.3083667
0.75,0.8742015,0.3125,1.113068,0.3125
0.76,0.8853276,0.3167,1.127234,0.3167
0.77,0.8940697,0.3208333,1.138365,0.3208333
0.78,0.9044011,0.325,1.151519,0.325
0.79,0.9163221,0.3292,1.166697,0.3292
0.8,0.9306272,0.3333333,1.184911,0.3333333
0.81,0.9536743,0.3375333,1.214256,0.3375333
0.82,0.983874,0.3417,1.252707,0.3417
0.83,1.010895,0.3458333,1.287111,0.3458333
0.84,1.029173,0.3500333,1.310384,0.3500333
0.85,1.041889,0.3541667,1.326574,0.3541667
0.86,1.056989,0.3583333,1.3458,0.3583333
0.87,1.077652,0.3625333,1.372109,0.3625333
0.88,1.100699,0.3666667,1.401453,0.3666667
0.89,1.122952,0.3708333,1.429786,0.3708333
0.9,1.145999,0.3750333,1.459131,0.3750333
0.91,1.16984,0.3791667,1.489487,0.3791667
0.92,1.192888,0.3833333,1.518832,0.3833333
0.93,1.209577,0.3875,1.540081,0.3875
0.94,1.222293,0.3916667,1.556271,0.3916667
0.95,1.238187,0.3958667,1.576509,0.3958667
0.96,1.257261,0.4,1.600794,0.4
0.97,1.281897,0.4041667,1.632162,0.4041667
0.98,1.309713,0.4083667,1.667578,0.4083667
0.99,1.336733,0.4125,1.701982,0.4125
1,1.364549,0.4167,1.737398,0.4167
1.01,1.399517,0.4208333,1.78192,0.4208333
1.02,1.436869,0.425,1.829479,0.425
1.03,1.464685,0.4291667,1.864895,0.4291667
1.04,1.485348,0.4333333,1.891203,0.4333334
1.05,1.502037,0.4375333,1.912453,0.4375333
1.06,1.527468,0.4417333,1.944833,0.4417333
1.07,1.562436,0.4458667,1.989356,0.4458667
1.08,1.598199,0.4500667,2.03489,0.4500667
1.09,1.631578,0.4542,2.077389,0.4542
1.1,1.660983,0.4583667,2.114829,0.4583667
1.11,1.690388,0.4625333,2.152268,0.4625334
1.12,1.721382,0.4666667,2.191732,0.4666666
1.13,1.752377,0.4708667,2.231195,0.4708667
1.14,1.78655,0.4750333,2.274706,0.4750333
1.15,1.826286,0.4792,2.3253,0.4792
1.16,1.864433,0.4833667,2.37387,0.4833667
1.17,1.899401,0.4875333,2.418393,0.4875334
1.18,1.93119,0.4917,2.458868,0.4917
1.19,1.964569,0.4958667,2.501367,0.4958667
1.2,1.995564,0.5000333,2.54083,0.5000333
1.21,2.020995,0.5042,2.57321,0.5042
1.22,2.045631,0.5083666,2.604579,0.5083666
1.23,2.075036,0.5125334,2.642018,0.5125334
1.24,2.116362,0.5167333,2.694636,0.5167333
1.25,2.167225,0.5208667,2.759396,0.5208667
1.26,2.22524,0.5250334,2.833263,0.5250334
1.27,2.276103,0.5292333,2.898024,0.5292333
1.28,2.318223,0.5333667,2.951653,0.5333667
1.29,2.35796,0.5375333,3.002248,0.5375333
1.3,2.404849,0.5417333,3.061949,0.5417333
1.31,2.455711,0.5458667,3.126709,0.5458667
1.32,2.50419,0.5500333,3.188433,0.5500333
1.33,2.5479,0.5542,3.244087,0.5542
1.34,2.589226,0.5583667,3.296705,0.5583667
1.35,2.633731,0.5625333,3.35337,0.5625333
1.36,2.683004,0.5667,3.416106,0.5667
1.37,2.732277,0.5708666,3.478843,0.5708666
1.38,2.78155,0.5750667,3.541579,0.5750667
1.39,2.82526,0.5792,3.597233,0.5792
1.4,2.864997,0.5834,3.647827,0.5834
1.41,2.903144,0.5875334,3.696397,0.5875334
1.42,2.94288,0.5917,3.746991,0.5917
1.43,2.98659,0.5959,3.802644,0.5959
1.44,3.035069,0.6000333,3.864369,0.6000333
1.45,3.086726,0.6042,3.930141,0.6042
1.46,3.139973,0.6083667,3.997937,0.6083667
1.47,3.195604,0.6125333,4.068769,0.6125333
1.48,3.252824,0.6167,4.141624,0.6167
1.49,3.306071,0.6208667,4.20942,0.6208667
1.5,3.348986,0.6250333,4.264062,0.6250333
1.51,3.388723,0.6292,4.314656,0.6292
1.52,3.431638,0.6333333,4.369297,0.6333333
1.53,3.477732,0.6375334,4.427986,0.6375334
1.54,3.5278,0.6417333,4.491735,0.6417333
1.55,3.582637,0.6458667,4.561554,0.6458667
1.56,3.640652,0.6500334,4.635422,0.6500334
1.57,3.691514,0.6542,4.700182,0.6542
1.58,3.739993,0.6583667,4.761907,0.6583667
1.59,3.79165,0.6625333,4.827679,0.6625333
1.6,3.841718,0.6667,4.891427,0.6667
1.61,3.888607,0.6708667,4.951128,0.6708667
1.62,3.941854,0.6750333,5.018924,0.6750333
1.63,4.000664,0.6792,5.093803,0.6792
1.64,4.059474,0.6834,5.168682,0.6834
1.65,4.113515,0.6875333,5.23749,0.6875333
1.66,4.163583,0.6917,5.301239,0.6917
1.67,4.214446,0.6958667,5.365999,0.6958667
1.68,4.266898,0.7000334,5.432783,0.7000334
1.69,4.31935,0.7042,5.499567,0.7042
1.7,4.374981,0.7083667,5.570398,0.7083667
1.71,4.432201,0.7125334,5.643254,0.7125334
1.72,4.494985,0.7167,5.723193,0.7167
1.73,4.555384,0.7208667,5.800095,0.7208667
1.74,4.611015,0.7250333,5.870927,0.7250333
1.75,4.661083,0.7292,5.934675,0.7292
1.76,4.707972,0.7333333,5.994376,0.7333333
1.77,4.756451,0.7375666,6.056101,0.7375666
1.78,4.806519,0.7417,6.119849,0.7417
1.79,4.858176,0.7458333,6.185621,0.7458333
1.8,4.914602,0.7500333,6.257465,0.7500333
1.81,4.978975,0.7542,6.339427,0.7542
1.82,5.041758,0.7583667,6.419365,0.7583667
1.83,5.101363,0.7625334,6.495256,0.7625334
1.84,5.160967,0.7667,6.571147,0.7667
1.85,5.217393,0.7708667,6.642992,0.7708667
1.86,5.27064,0.7750334,6.710787,0.7750334
1.87,5.324682,0.7792,6.779595,0.7792
1.88,5.383492,0.7833667,6.854474,0.7833667
1.89,5.446275,0.7875333,6.934413,0.7875333
1.9,5.50429,0.7917,7.00828,0.7917
1.91,5.554358,0.7958667,7.072028,0.7958667
1.92,5.600452,0.8,7.130717,0.8
1.93,5.651315,0.8042,7.195478,0.8042001
1.94,5.705357,0.8084,7.264286,0.8084
1.95,5.759398,0.8125333,7.333093,0.8125333
1.96,5.81185,0.8167,7.399877,0.8167
