Time,Force,Stroke,Stress,Strain
0,0.05880992,0,0.07487911,0
0.01,0.06914139,0.004133333,0.08803355,0.004133333
0.02,0.08185705,0.008333334,0.1042236,0.008333334
0.03,0.09695689,0.0125,0.1234493,0.0125
0.04,0.1072884,0.01663333,0.1366038,0.01663333
0.05,0.1136462,0.02083333,0.1446988,0.02083333
0.06,0.1223882,0.025,0.1558295,0.025
0.07,0.1343091,0.02916667,0.1710077,0.02916666
0.08,0.1422564,0.03333334,0.1811265,0.03333334
0.09,0.1486142,0.0375,0.1892215,0.0375
0.1,0.1589457,0.04166667,0.202376,0.04166667
0.11,0.1700719,0.04586667,0.2165423,0.04586667
0.12,0.1804034,0.05,0.2296967,0.05
0.13,0.1915296,0.05416667,0.243863,0.05416667
0.14,0.1994769,0.05833333,0.2539819,0.05833333
0.15,0.2018611,0.0625,0.2570175,0.0625
0.16,0.2058347,0.06666667,0.2620769,0.06666667
0.17,0.2161662,0.07083333,0.2752313,0.07083333
0.18,0.231266,0.075,0.294457,0.075
0.19,0.2511342,0.07916667,0.319754,0.07916667
0.2,0.2710024,0.08333334,0.345051,0.08333334
0.21,0.286897,0.0875,0.3652886,0.0875
0.22,0.2940496,0.09166667,0.3743955,0.09166667
0.23,0.3035863,0.09583333,0.3865381,0.09583333
0.24,0.3202756,0.1,0.4077876,0.1
0.25,0.3409386,0.1041667,0.4340965,0.1041667
0.26,0.3600121,0.1083333,0.4583816,0.1083333
0.27,0.3751119,0.1125,0.4776073,0.1125
0.28,0.3870328,0.1166333,0.4927855,0.1166333
0.29,0.3973643,0.1208333,0.5059399,0.1208333
0.3,0.4061063,0.125,0.5170706,0.125
0.31,0.418822,0.1291667,0.5332606,0.1291667
0.32,0.4378954,0.1333333,0.5575458,0.1333333
0.33,0.4569689,0.1374667,0.5818309,0.1374667
0.34,0.4768372,0.1416667,0.6071279,0.1416667
0.35,0.4967054,0.1458333,0.6324249,0.1458333
0.36,0.5189578,0.1499667,0.6607575,0.1499667
0.37,0.5340576,0.1541667,0.6799833,0.1541667
0.38,0.5420049,0.1583333,0.690102,0.1583333
0.39,0.5523364,0.1625,0.7032565,0.1625
0.4,0.5674362,0.1666667,0.7224822,0.1666667
0.41,0.585715,0.1708333,0.7457555,0.1708333
0.42,0.6047885,0.175,0.7700406,0.175
0.43,0.6222725,0.1792,0.7923019,0.1792
0.44,0.6421407,0.1833333,0.8175989,0.1833333
0.45,0.6620089,0.1875,0.8428959,0.1875
0.46,0.6826718,0.1916667,0.8692048,0.1916667
0.47,0.7009506,0.1958333,0.892478,0.1958333
0.48,0.7136663,0.2,0.9086681,0.2
0.49,0.7239978,0.2041333,0.9218225,0.2041333
0.5,0.7383029,0.2083333,0.9400364,0.2083333
0.51,0.76135,0.2125333,0.9693809,0.2125333
0.52,0.7883708,0.2166667,1.003785,0.2166667
0.53,0.8098285,0.2208333,1.031106,0.2208333
0.54,0.8289019,0.225,1.055391,0.225
0.55,0.851949,0.2291667,1.084735,0.2291667
0.56,0.8773804,0.2333333,1.117115,0.2333333
0.57,0.9004275,0.2374667,1.14646,0.2374667
0.58,0.9187062,0.2416667,1.169733,0.2416667
0.59,0.9393692,0.2458333,1.196042,0.2458333
0.6,0.9624164,0.25,1.225387,0.25
0.61,0.9878476,0.2541667,1.257767,0.2541667
0.62,1.014868,0.2583333,1.292171,0.2583333
0.63,1.041889,0.2625,1.326574,0.2625
0.64,1.066526,0.2666667,1.357943,0.2666667
0.65,1.087983,0.2708,1.385264,0.2708
0.66,1.109441,0.275,1.412584,0.275
0.67,1.132488,0.2791667,1.441929,0.2791667
0.68,1.158714,0.2833333,1.475321,0.2833333
0.69,1.185735,0.2875,1.509725,0.2875
0.7,1.208782,0.2916667,1.539069,0.2916667
0.71,1.23024,0.2958333,1.56639,0.2958333
0.72,1.254876,0.3,1.597758,0.3
0.73,1.282692,0.3041667,1.633174,0.3041667
0.74,1.307329,0.3083333,1.664542,0.3083333
0.75,1.324813,0.3125333,1.686804,0.3125333
0.76,1.341502,0.3166333,1.708053,0.3166333
0.77,1.364549,0.3208333,1.737398,0.3208333
0.78,1.393159,0.325,1.773825,0.325
0.79,1.42018,0.3291667,1.808229,0.3291667
0.8,1.443227,0.3333333,1.837574,0.3333333
0.81,1.466274,0.3375,1.866918,0.3375
0.82,1.493295,0.3416667,1.901322,0.3416667
0.83,1.521111,0.3458333,1.936738,0.3458333
0.84,1.549721,0.35,1.973166,0.35
0.85,1.577536,0.3541667,2.008581,0.3541667
0.86,1.600583,0.3583333,2.037926,0.3583333
0.87,1.619657,0.3625,2.062211,0.3625
0.88,1.641909,0.3666667,2.090544,0.3666667
0.89,1.671314,0.3708,2.127983,0.3708
0.9,1.703103,0.375,2.168458,0.375
0.91,1.734098,0.3792,2.207922,0.3792
0.92,1.765092,0.3833333,2.247385,0.3833333
0.93,1.794497,0.3875,2.284825,0.3875
0.94,1.827876,0.3916667,2.327324,0.3916667
0.95,1.859665,0.3958333,2.367799,0.3958333
0.96,1.886686,0.4,2.402203,0.4
0.97,1.909733,0.4041667,2.431547,0.4041667
0.98,1.934369,0.4083333,2.462916,0.4083334
0.99,1.960595,0.4125333,2.496308,0.4125333
1,1.989206,0.4166667,2.532735,0.4166666
1.01,2.012253,0.4208333,2.56208,0.4208333
1.02,2.032916,0.425,2.588389,0.425
1.03,2.055963,0.4291667,2.617733,0.4291667
1.04,2.081394,0.4333333,2.650113,0.4333334
1.05,2.110004,0.4375,2.686541,0.4375
1.06,2.141793,0.4416667,2.727016,0.4416666
1.07,2.173583,0.4458333,2.767492,0.4458333
1.08,2.200603,0.45,2.801895,0.45
1.09,2.223651,0.4541667,2.83124,0.4541667
1.1,2.246698,0.4583333,2.860584,0.4583334
1.11,2.269745,0.4625,2.889929,0.4625
1.12,2.294381,0.4666667,2.921297,0.4666666
1.13,2.315839,0.4708,2.948618,0.4708
1.14,2.338092,0.475,2.976951,0.475
1.15,2.365907,0.4792,3.012366,0.4792
1.16,2.400875,0.4833,3.056889,0.4833
1.17,2.440612,0.4875,3.107483,0.4875
1.18,2.47399,0.4916667,3.149982,0.4916666
1.19,2.501806,0.4958333,3.185398,0.4958333
1.2,2.530416,0.5,3.221825,0.5
1.21,2.558231,0.5041667,3.257241,0.5041667
1.22,2.59002,0.5083333,3.297716,0.5083333
1.23,2.627373,0.5125,3.345275,0.5125
1.24,2.662341,0.5166667,3.389798,0.5166667
1.25,2.690156,0.5208333,3.425213,0.5208333
1.26,2.718766,0.525,3.461641,0.525
1.27,2.754529,0.5291667,3.507175,0.5291667
1.28,2.792676,0.5333334,3.555746,0.5333334
1.29,2.826055,0.5375,3.598245,0.5375
1.3,2.852281,0.5416667,3.631637,0.5416667
1.31,2.871354,0.5458667,3.655922,0.5458667
1.32,2.888839,0.55,3.678183,0.55
1.33,2.915065,0.5541667,3.711575,0.5541667
1.34,2.947648,0.5583333,3.753062,0.5583333
1.35,2.980232,0.5625,3.794549,0.5625
1.36,3.013611,0.5666667,3.837048,0.5666667
1.37,3.049374,0.5708333,3.882583,0.5708333
1.38,3.085136,0.575,3.928118,0.575
1.39,3.114541,0.5791667,3.965557,0.5791667
