Time,Force,Stroke,Stress,Strain
0,0.05960464,0,0.07589099,0
0.01,0.0723203,0.004166667,0.09208107,0.004166667
0.02,0.08026759,0.008333334,0.1021999,0.008333334
0.03,0.08662542,0.0125,0.1102949,0.0125
0.04,0.09298325,0.01666667,0.1183899,0.01666667
0.05,0.09854635,0.02083333,0.1254731,0.02083333
0.06,0.10252,0.025,0.1305325,0.025
0.07,0.1096725,0.02916667,0.1396394,0.02916666
0.08,0.1223882,0.03333334,0.1558295,0.03333334
0.09,0.1390775,0.0375,0.177079,0.0375
0.1,0.1573563,0.04166667,0.2003522,0.04166667
0.11,0.1724561,0.04583333,0.2195779,0.04583333
0.12,0.1883507,0.05003333,0.2398155,0.05003333
0.13,0.2034505,0.05416667,0.2590412,0.05416667
0.14,0.2201398,0.05833333,0.2802907,0.05833333
0.15,0.2328555,0.0625,0.2964808,0.0625
0.16,0.2415975,0.06666667,0.3076115,0.06666667
0.17,0.2511342,0.07083333,0.319754,0.07083333
0.18,0.2662341,0.075,0.3389798,0.075
0.19,0.2845128,0.07916667,0.362253,0.07916667
0.2,0.3012021,0.08333334,0.3835025,0.08333334
0.21,0.3186862,0.08746666,0.4057638,0.08746666
0.22,0.3393491,0.09166667,0.4320727,0.09166667
0.23,0.3639857,0.09583333,0.463441,0.09583333
0.24,0.3854434,0.09996667,0.4907617,0.09996666
0.25,0.398159,0.1041667,0.5069518,0.1041667
0.26,0.4061063,0.1083333,0.5170706,0.1083333
0.27,0.4140536,0.1125,0.5271894,0.1125
0.28,0.4291534,0.1166667,0.5464151,0.1166667
0.29,0.4482269,0.1208333,0.5707002,0.1208333
0.3,0.4665057,0.125,0.5939735,0.125
0.31,0.4855792,0.1291667,0.6182586,0.1291667
0.32,0.5094211,0.1333333,0.648615,0.1333333
0.33,0.5364418,0.1375,0.6830189,0.1375
0.34,0.5586942,0.1416667,0.7113515,0.1416667
0.35,0.5714099,0.1458333,0.7275416,0.1458333
0.36,0.5801519,0.15,0.7386723,0.15
0.37,0.5920728,0.1541333,0.7538505,0.1541333
0.38,0.6111463,0.1583333,0.7781356,0.1583333
0.39,0.6381671,0.1625,0.8125395,0.1625
0.4,0.667572,0.1666333,0.8499791,0.1666333
0.41,0.6953875,0.1708333,0.8853949,0.1708333
0.42,0.7184346,0.175,0.9147394,0.175
0.43,0.7390976,0.1791667,0.9410483,0.1791667
0.44,0.76135,0.1833333,0.9693809,0.1833333
0.45,0.778834,0.1875,0.9916423,0.1875
0.46,0.7971128,0.1916667,1.014915,0.1916667
0.47,0.8201599,0.1958333,1.04426,0.1958333
0.48,0.8479754,0.2,1.079676,0.2
0.49,0.8789698,0.2042,1.119139,0.2042
0.5,0.9059906,0.2083,1.153543,0.2083
0.51,0.9290377,0.2125,1.182888,0.2125
0.52,0.9497007,0.2167,1.209196,0.2167
0.53,0.9703636,0.2208333,1.235505,0.2208333
0.54,0.9878476,0.225,1.257767,0.225
0.55,1.006126,0.2291667,1.28104,0.2291667
0.56,1.026789,0.2333333,1.307349,0.2333333
0.57,1.054605,0.2375,1.342765,0.2375
0.58,1.087983,0.2416667,1.385264,0.2416667
0.59,1.118978,0.2458333,1.424727,0.2458333
0.6,1.140436,0.25,1.452048,0.25
0.61,1.161098,0.2541667,1.478356,0.2541667
0.62,1.18653,0.2583667,1.510737,0.2583667
0.63,1.21514,0.2625333,1.547164,0.2625333
0.64,1.236598,0.2666667,1.574485,0.2666667
0.65,1.253287,0.2708667,1.595734,0.2708667
0.66,1.276334,0.275,1.625079,0.275
0.67,1.305739,0.2792,1.662519,0.2792
0.68,1.336733,0.2833667,1.701982,0.2833667
0.69,1.362165,0.2875333,1.734362,0.2875333
0.7,1.387596,0.2917,1.766742,0.2917
0.71,1.412233,0.2958667,1.79811,0.2958667
0.72,1.436869,0.3000333,1.829479,0.3000333
0.73,1.462301,0.3042,1.861859,0.3042
0.74,1.483758,0.3083667,1.88918,0.3083667
0.75,1.500448,0.3125333,1.910429,0.3125333
0.76,1.518726,0.3167,1.933702,0.3167
0.77,1.546542,0.3208333,1.969118,0.3208333
0.78,1.57992,0.3250333,2.011617,0.3250333
0.79,1.610915,0.3292,2.05108,0.3292
0.8,1.636346,0.3333333,2.083461,0.3333333
0.81,1.660983,0.3375333,2.114829,0.3375333
0.82,1.68244,0.3417,2.14215,0.3417
0.83,1.704693,0.3458667,2.170482,0.3458667
0.84,1.728535,0.3500333,2.200839,0.3500333
