Time,Force,Stroke,Stress,Strain
0,0.06596247,0,0.08398602,0
0.01,0.08662542,0.004166667,0.1102949,0.004166667
0.02,0.1072884,0.008333334,0.1366038,0.008333334
0.03,0.1279513,0.01246667,0.1629127,0.01246667
0.04,0.1470248,0.01666667,0.1871978,0.01666667
0.05,0.1653035,0.02083333,0.210471,0.02083333
0.06,0.1851718,0.025,0.235768,0.025
0.07,0.2082189,0.02916667,0.2651125,0.02916666
0.08,0.2264977,0.03333334,0.2883857,0.03333334
0.09,0.2447764,0.0375,0.311659,0.0375
0.1,0.2646446,0.04166667,0.336956,0.04166667
0.11,0.2892812,0.0458,0.3683243,0.0458
0.12,0.316302,0.05,0.4027282,0.05
0.13,0.3441175,0.05416667,0.438144,0.05416667
0.14,0.3711382,0.0583,0.4725479,0.0583
0.15,0.3957748,0.0625,0.5039161,0.0625
0.16,0.4204114,0.06666667,0.5352845,0.06666667
0.17,0.4466375,0.07083333,0.5686765,0.07083333
0.18,0.4792213,0.075,0.6101636,0.075
0.19,0.5086263,0.07916667,0.6476031,0.07916667
0.2,0.530084,0.08333334,0.6749238,0.08333334
0.21,0.5483627,0.0875,0.6981971,0.0875
0.22,0.5698204,0.09166667,0.7255179,0.09166667
0.23,0.5960464,0.0958,0.7589099,0.0958
0.24,0.6254514,0.09996667,0.7963494,0.09996666
0.25,0.6572406,0.1041667,0.8368247,0.1041667
0.26,0.6890297,0.1083333,0.8772998,0.1083333
0.27,0.7120768,0.1124667,0.9066443,0.1124667
0.28,0.731945,0.1166667,0.9319413,0.1166667
0.29,0.7597606,0.1208333,0.9673572,0.1208333
0.3,0.7931392,0.1249667,1.009856,0.1249667
0.31,0.8249283,0.1291667,1.050331,0.1291667
0.32,0.8559227,0.1333333,1.089795,0.1333333
0.33,0.8869171,0.1375,1.129258,0.1375
0.34,0.9147326,0.1416667,1.164674,0.1416667
0.35,0.9457271,0.1458333,1.204137,0.1458333
0.36,0.9854634,0.15,1.254731,0.15
0.37,1.031558,0.1541333,1.31342,0.1541333
0.38,1.073678,0.1583,1.36705,0.1583
0.39,1.113415,0.1625,1.417644,0.1625
0.4,1.152357,0.1666333,1.467226,0.1666333
0.41,1.188119,0.1708333,1.51276,0.1708333
0.42,1.219908,0.175,1.553236,0.175
0.43,1.251698,0.1791333,1.593711,0.1791333
0.44,1.285076,0.1833333,1.63621,0.1833333
0.45,1.320044,0.1875,1.680732,0.1875
0.46,1.358191,0.1916667,1.729303,0.1916667
0.47,1.393954,0.1958333,1.774837,0.1958333
0.48,1.427333,0.2,1.817336,0.2
0.49,1.467069,0.2041667,1.86793,0.2041667
0.5,1.512369,0.2083333,1.925607,0.2083333
0.51,1.558463,0.2124667,1.984296,0.2124667
0.52,1.602968,0.2167,2.040962,0.2167
0.53,1.648267,0.2208333,2.098639,0.2208333
0.54,1.690388,0.2249667,2.152268,0.2249667
0.55,1.725356,0.2291667,2.196791,0.2291667
0.56,1.763503,0.2333,2.245361,0.2333
0.57,1.807213,0.2375,2.301015,0.2375
0.58,1.853307,0.2416667,2.359704,0.2416667
0.59,1.897017,0.2458333,2.415357,0.2458333
0.6,1.936754,0.25,2.465951,0.25
0.61,1.978874,0.2541667,2.519581,0.2541667
0.62,2.022584,0.2583333,2.575234,0.2583333
0.63,2.068679,0.2625,2.633923,0.2625
