Time,Force,Stroke,Stress,Strain
0,0.05086263,0,0.06476031,0
0.01,0.05483627,0.0042,0.06981971,0.0042
0.02,0.0611941,0.008333334,0.07791475,0.008333334
0.03,0.06993612,0.0125,0.08904543,0.0125
0.04,0.08185705,0.01666667,0.1042236,0.01666667
0.05,0.09218851,0.02083333,0.1173781,0.02083333
0.06,0.1009305,0.025,0.1285087,0.025
0.07,0.1088778,0.02916667,0.1386275,0.02916666
0.08,0.1136462,0.03333334,0.1446988,0.03333334
0.09,0.1192093,0.0375,0.151782,0.0375
0.1,0.1215935,0.04166667,0.1548176,0.04166667
0.11,0.1303355,0.04583333,0.1659483,0.04583333
0.12,0.1446406,0.05,0.1841621,0.05
0.13,0.1621246,0.05413333,0.2064235,0.05413333
0.14,0.1804034,0.05833333,0.2296967,0.05833333
0.15,0.1994769,0.0625,0.2539819,0.0625
0.16,0.2145767,0.06666667,0.2732075,0.06666667
0.17,0.2249082,0.07083333,0.286362,0.07083333
0.18,0.2288818,0.075,0.2914214,0.075
0.19,0.2344449,0.07916667,0.2985046,0.07916667
0.2,0.2455711,0.08333334,0.3126709,0.08333334
0.21,0.2622604,0.08746666,0.3339204,0.08746666
0.22,0.2749761,0.09166667,0.3501104,0.09166667
0.23,0.2805392,0.09583333,0.3571936,0.09583333
0.24,0.286897,0.1,0.3652886,0.1
0.25,0.2980232,0.1041667,0.3794549,0.1041667
0.26,0.3147125,0.1083333,0.4007044,0.1083333
0.27,0.3345807,0.1125,0.4260014,0.1125
0.28,0.3496806,0.1166667,0.4452271,0.1166667
0.29,0.3576279,0.1208333,0.4553459,0.1208333
0.3,0.3584226,0.125,0.4563578,0.125
0.31,0.3647804,0.1291667,0.4644529,0.1291667
0.32,0.3838539,0.1333333,0.488738,0.1333333
0.33,0.4084905,0.1375,0.5201063,0.1375
0.34,0.427564,0.1416667,0.5443914,0.1416667
0.35,0.4402796,0.1458333,0.5605814,0.1458333
0.36,0.45379,0.15,0.5777834,0.15
0.37,0.4633268,0.1541333,0.5899259,0.1541333
0.38,0.4736582,0.1583333,0.6030804,0.1583333
0.39,0.4863739,0.1625,0.6192704,0.1625
0.4,0.5046527,0.1666667,0.6425437,0.1666667
0.41,0.5261104,0.1708333,0.6698645,0.1708333
0.42,0.5483627,0.175,0.6981971,0.175
0.43,0.565052,0.1791667,0.7194466,0.1791667
0.44,0.582536,0.1833333,0.7417079,0.1833333
0.45,0.6047885,0.1875,0.7700406,0.1875
0.46,0.6262462,0.1916667,0.7973614,0.1916667
0.47,0.6421407,0.1958333,0.8175989,0.1958333
0.48,0.6508827,0.2,0.8287296,0.2
0.49,0.6596248,0.2041667,0.8398603,0.2041667
0.5,0.6723404,0.2083333,0.8560504,0.2083333
0.51,0.6930034,0.2125,0.8823593,0.2125
0.52,0.7176399,0.2166667,0.9137275,0.2166667
0.53,0.7406871,0.2208,0.943072,0.2208
0.54,0.7549922,0.225,0.9612859,0.225
0.55,0.7677078,0.2291667,0.9774759,0.2291667
0.56,0.7867813,0.2333333,1.001761,0.2333333
0.57,0.8098285,0.2375,1.031106,0.2375
0.58,0.8289019,0.2416667,1.055391,0.2416667
0.59,0.8440018,0.2458333,1.074616,0.2458333
0.6,0.8583069,0.25,1.09283,0.25
0.61,0.872612,0.2541667,1.111044,0.2541667
0.62,0.8908908,0.2583333,1.134317,0.2583333
0.63,0.9099643,0.2625,1.158602,0.2625
0.64,0.9274483,0.2666667,1.180864,0.2666667
0.65,0.9481112,0.2708667,1.207173,0.2708667
0.66,0.9727478,0.2749667,1.238541,0.2749667
0.67,0.995795,0.2791667,1.267885,0.2791667
0.68,1.016458,0.2833333,1.294194,0.2833333
0.69,1.033942,0.2874667,1.316456,0.2874667
0.7,1.052221,0.2916667,1.339729,0.2916667
0.71,1.072884,0.2958333,1.366038,0.2958333
0.72,1.091957,0.2999667,1.390323,0.2999667
0.73,1.106262,0.3041667,1.408537,0.3041667
0.74,1.115799,0.3083333,1.420679,0.3083333
0.75,1.129309,0.3125,1.437881,0.3125
0.76,1.148383,0.3166667,1.462166,0.3166667
0.77,1.17143,0.3208333,1.491511,0.3208333
0.78,1.194477,0.325,1.520855,0.325
0.79,1.215935,0.3291667,1.548176,0.3291667
0.8,1.235008,0.3333333,1.572461,0.3333333
