Time,Force,Stroke,Stress,Strain
0,0.06596247,0,0.08398602,0
0.01,0.0723203,0.004166667,0.09208107,0.004166667
0.02,0.0723203,0.008333334,0.09208107,0.008333334
0.03,0.06993612,0.0125,0.08904543,0.0125
0.04,0.0723203,0.01666667,0.09208107,0.01666667
0.05,0.08185705,0.02086667,0.1042236,0.02086667
0.06,0.09059906,0.025,0.1153543,0.025
0.07,0.09934107,0.02916667,0.126485,0.02916666
0.08,0.1088778,0.03333334,0.1386275,0.03333334
0.09,0.1176198,0.0375,0.1497582,0.0375
0.1,0.1255671,0.04166667,0.159877,0.04166667
0.11,0.1319249,0.04583333,0.167972,0.04583333
0.12,0.1390775,0.05,0.177079,0.05
0.13,0.149409,0.0542,0.1902334,0.0542
0.14,0.1613299,0.05833333,0.2054116,0.05833333
0.15,0.1716614,0.0625,0.218566,0.0625
0.16,0.1764297,0.0667,0.2246373,0.0667
0.17,0.184377,0.07083333,0.2347561,0.07083333
0.18,0.1970927,0.075,0.2509462,0.075
0.19,0.2113978,0.07916667,0.26916,0.07916667
0.2,0.222524,0.08333334,0.2833264,0.08333334
0.21,0.2344449,0.08753333,0.2985046,0.08753333
0.22,0.251929,0.09166667,0.3207659,0.09166667
0.23,0.2725919,0.09583333,0.3470748,0.09583333
0.24,0.286897,0.1,0.3652886,0.1
0.25,0.2932549,0.1041667,0.3733837,0.1041667
0.26,0.2996127,0.1083333,0.3814787,0.1083333
0.27,0.3083547,0.1125,0.3926094,0.1125
0.28,0.3186862,0.1166667,0.4057638,0.1166667
0.29,0.3290176,0.1208667,0.4189183,0.1208667
0.3,0.3417333,0.125,0.4351083,0.125
0.31,0.3584226,0.1291667,0.4563578,0.1291667
0.32,0.3687541,0.1333333,0.4695122,0.1333333
0.33,0.3743172,0.1375,0.4765954,0.1375
0.34,0.3854434,0.1416667,0.4907617,0.1416667
0.35,0.4045168,0.1458333,0.5150468,0.1458333
0.36,0.4235903,0.15,0.539332,0.15
0.37,0.4402796,0.1541667,0.5605814,0.1541667
0.38,0.45379,0.1583333,0.5777834,0.1583333
0.39,0.4673004,0.1625,0.5949854,0.1625
0.4,0.4816055,0.1666667,0.6131992,0.1666667
0.41,0.4959106,0.1708333,0.631413,0.1708333
0.42,0.5086263,0.175,0.6476031,0.175
0.43,0.5173683,0.1791667,0.6587338,0.1791667
0.44,0.5261104,0.1833333,0.6698645,0.1833333
0.45,0.5420049,0.1875333,0.690102,0.1875333
0.46,0.5610784,0.1916667,0.7143871,0.1916667
0.47,0.5801519,0.1958333,0.7386723,0.1958333
0.48,0.5960464,0.2000333,0.7589099,0.2000333
0.49,0.6071727,0.2041667,0.7730762,0.2041667
0.5,0.6214778,0.2083333,0.79129,0.2083333
0.51,0.6365776,0.2125,0.8105158,0.2125
0.52,0.6548564,0.2166667,0.833789,0.2166667
0.53,0.6723404,0.2208667,0.8560504,0.2208667
0.54,0.688235,0.2249667,0.876288,0.2249667
